experiment_id,run_id,fit_id,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,hyperparameters_json,rho_train,seed,row_id,status,failure_type,failure_message,environment_type,rho_environment,evaluation_seconds,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss,iid_accuracy,average_ood_accuracy,worst_ood_accuracy,ood_gap,environment_delta,capacity_proxy_name,learned_capacity_primary,empirical_capacity_index,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fit_seconds,warning_count
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,c3f0f24fe589750fcb2bd14d6e8b28a7c2315e6deea0719278c4255ccd3edc78,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,"{""C"":30.0,""max_iter"":1500,""solver"":""lbfgs""}",0.0,0,d364a37f59d596610f68731f43983556f7c93955e4d2f54828b1c1190806b372,success,,,iid_test,0.0,0.0097081999992951,0.9186666666666666,0.918667819330601,0.9788042356841984,0.0580692618906502,0.1866499223942902,0.9186666666666666,0.9106666666666666,0.905,0.008,0.0,effective_degrees_of_freedom,4.998130611938505,0.9,6.0,4.998130611938505,,,,,,,,11.0,1.0,0.0096450000419281,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,c3f0f24fe589750fcb2bd14d6e8b28a7c2315e6deea0719278c4255ccd3edc78,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,"{""C"":30.0,""max_iter"":1500,""solver"":""lbfgs""}",0.0,0,dff71d308ba667ea34a5f8196158d6b04f46e5e2236e8a45144481e0ee9056ec,success,,,ood,0.3,0.0118957000086084,0.905,0.9049233155019348,0.9744008578989302,0.064944647661183,0.2041940827266578,0.9186666666666666,0.9106666666666666,0.905,0.008,0.0136666666666666,effective_degrees_of_freedom,4.998130611938505,0.9,6.0,4.998130611938505,,,,,,,,11.0,1.0,0.0096450000419281,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,c3f0f24fe589750fcb2bd14d6e8b28a7c2315e6deea0719278c4255ccd3edc78,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,"{""C"":30.0,""max_iter"":1500,""solver"":""lbfgs""}",0.0,0,c62663003251d275785729b53cf870b27a1925c639152632a39549d5be0d8d86,success,,,ood,-0.3,0.0134299999917857,0.9146666666666666,0.914662077382828,0.9771361037638024,0.0605408333536608,0.1933754275594578,0.9186666666666666,0.9106666666666666,0.905,0.008,0.004,effective_degrees_of_freedom,4.998130611938505,0.9,6.0,4.998130611938505,,,,,,,,11.0,1.0,0.0096450000419281,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,c3f0f24fe589750fcb2bd14d6e8b28a7c2315e6deea0719278c4255ccd3edc78,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,"{""C"":30.0,""max_iter"":1500,""solver"":""lbfgs""}",0.0,0,61ef3e573fe6904eec0d5c77cb3ad0ff2fa74bbb401bb817f48cc5879f6a72c8,success,,,ood,-0.6,0.0096329000080004,0.9156666666666666,0.9154603876105534,0.9757850154521144,0.0626182802967785,0.1985745360455483,0.9186666666666666,0.9106666666666666,0.905,0.008,0.003,effective_degrees_of_freedom,4.998130611938505,0.9,6.0,4.998130611938505,,,,,,,,11.0,1.0,0.0096450000419281,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,c3f0f24fe589750fcb2bd14d6e8b28a7c2315e6deea0719278c4255ccd3edc78,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,"{""C"":30.0,""max_iter"":1500,""solver"":""lbfgs""}",0.0,0,fc11b8e8e968f9a7f260d4c4052768f6f67fbd7f2d27c4f050278ad24b2fb6ea,success,,,ood,-0.9,0.0102514999452978,0.9073333333333332,0.9074698735194592,0.9754115996507692,0.0632336208133622,0.2007895403007953,0.9186666666666666,0.9106666666666666,0.905,0.008,0.0113333333333333,effective_degrees_of_freedom,4.998130611938505,0.9,6.0,4.998130611938505,,,,,,,,11.0,1.0,0.0096450000419281,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,9e5fb0989ec7eacbffd7ad39f46ebd9f45ebb8a90d98d2e182e043d43c6c569a,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,"{""C"":1.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":0.05}",0.0,0,82b4de0e1bebfc68f9b281f467a0d97e54926a8cd4c4bf311a008b9e585ec576,success,,,iid_test,0.0,0.8767268999945372,0.9173333333333332,0.9173337175546448,0.9783092839253188,0.058398052119884,0.1884800032269922,0.9173333333333332,0.9090833333333334,0.9036666666666666,0.0082499999999999,0.0,kernel_effective_rank,2.34003665354826,0.23333333333333334,7464.0,,2.34003665354826,0.2488,,,,,,,1.0,0.8281934999977238,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,9e5fb0989ec7eacbffd7ad39f46ebd9f45ebb8a90d98d2e182e043d43c6c569a,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,"{""C"":1.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":0.05}",0.0,0,f6e8bbb41ada5ed4774c10184fac7d83382beb6429082a62f95a16013e5bb8c4,success,,,ood,0.3,0.6623976000119001,0.9056666666666666,0.9055528681994082,0.9738882348338264,0.0655871609874327,0.2068889540616218,0.9173333333333332,0.9090833333333334,0.9036666666666666,0.0082499999999999,0.0116666666666667,kernel_effective_rank,2.34003665354826,0.23333333333333334,7464.0,,2.34003665354826,0.2488,,,,,,,1.0,0.8281934999977238,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,9e5fb0989ec7eacbffd7ad39f46ebd9f45ebb8a90d98d2e182e043d43c6c569a,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,"{""C"":1.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":0.05}",0.0,0,17d66cc400b4b75fa12e32249b2cfab41d36afa446347d016d96a9f7097602d4,success,,,ood,-0.3,0.6119107999838889,0.916,0.9159808149682716,0.976240944513016,0.0616529424643568,0.1969489115148768,0.9173333333333332,0.9090833333333334,0.9036666666666666,0.0082499999999999,0.0013333333333332,kernel_effective_rank,2.34003665354826,0.23333333333333334,7464.0,,2.34003665354826,0.2488,,,,,,,1.0,0.8281934999977238,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,9e5fb0989ec7eacbffd7ad39f46ebd9f45ebb8a90d98d2e182e043d43c6c569a,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,"{""C"":1.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":0.05}",0.0,0,cb2367771e8ed566ffb751fb1c959621a7a1e84d0a133cbffd34fc61b2455106,success,,,ood,-0.6,0.5677960999892093,0.911,0.9108274220322066,0.974697940963493,0.0640998485699543,0.2035962751811093,0.9173333333333332,0.9090833333333334,0.9036666666666666,0.0082499999999999,0.0063333333333333,kernel_effective_rank,2.34003665354826,0.23333333333333334,7464.0,,2.34003665354826,0.2488,,,,,,,1.0,0.8281934999977238,0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,9e5fb0989ec7eacbffd7ad39f46ebd9f45ebb8a90d98d2e182e043d43c6c569a,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,"{""C"":1.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":0.05}",0.0,0,65b98cb1d7949c46986ec4d39dcd008532b7c13c5b632a297d239bdb229ecd4c,success,,,ood,-0.9,0.5777283999486826,0.9036666666666666,0.9037388487123452,0.9744136071937252,0.0653578796429342,0.2053772589142858,0.9173333333333332,0.9090833333333334,0.9036666666666666,0.0082499999999999,0.0136666666666667,kernel_effective_rank,2.34003665354826,0.23333333333333334,7464.0,,2.34003665354826,0.2488,,,,,,,1.0,0.8281934999977238,0
