rho_train,fit_id,terminal_fidelity,terminal_d3,final_ood_gap,n_iter
0.9,rho0p9_seed00_mlp_l,0.67,0.295,0.19699999999999995,31
0.0,rho0_seed00_mlp_l,0.77,0.105,0.05624999999999997,118
