rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,fit_seconds,warning_count,capacity_proxy_name,learned_capacity_primary,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fitted_kernel_gamma,empirical_capacity_index
0.9,1,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,0.05895489995600656,0,kernel_effective_rank,2.2821076117556913,696.0,,2.2821076117556913,0.07733333333333334,,,,,,,1.0,0.05,0.16666666666666666
0.9,1,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,weak,1.0,0.05519970000023022,0,kernel_effective_rank,9.612667323291213,408.0,,9.612667323291213,0.04533333333333334,,,,,,,1.0,0.20000000000000004,0.5
0.9,1,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,strong,0.0,0.1557530999998562,0,kernel_effective_rank,120.5393774397256,3552.0,,120.5393774397256,0.39466666666666667,,,,,,,1.0,1.0,0.8333333333333334
0.9,1,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,weak,1.0,0.390996299975086,0,tree_total_leaves,2553.0,4906.0,,,,2553.0,4.0,,,,,1.0,,0.3333333333333333
0.9,1,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,strong,0.0,0.5202369999606162,0,tree_total_leaves,3923.0,7596.0,,,,3923.0,5.672,,,,,1.0,,0.6666666666666666
0.9,1,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,medium,0.5,0.5654528000159189,0,tree_total_leaves,7085.0,13870.0,,,,7085.0,7.236666666666666,,,,,1.0,,1.0
0.9,1,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,strong,0.0,0.17191099998308346,0,boosting_total_leaves,661.0,1222.0,,,,,,661.0,100.0,,100.0,1.0,,0.3333333333333333
0.9,1,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,weak,1.0,0.6247086999937892,0,boosting_total_leaves,2492.0,4784.0,,,,,,2492.0,200.0,,200.0,1.0,,0.6666666666666666
0.9,1,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,medium,0.5,0.9146021999767981,0,boosting_total_leaves,3634.0,6968.0,,,,,,3634.0,300.0,,300.0,1.0,,1.0
0.9,1,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,weak,1.0,0.1932946000015363,0,mlp_parameter_count,113.0,113.0,,,,,,,,113.0,46.0,1.0,,0.25
0.9,1,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,medium,0.5,0.12055099999997765,0,mlp_parameter_count,4609.0,4609.0,,,,,,,,4609.0,15.0,1.0,,0.5833333333333334
0.9,1,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,strong,0.0,0.2848562999861315,0,mlp_parameter_count,25601.0,25601.0,,,,,,,,25601.0,13.0,1.0,,0.9166666666666666
