experiment_id,run_id,fit_id,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,hyperparameters_json,rho_train,seed,status,failure_type,failure_message,fit_seconds,warning_count,warning_messages,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_brier_score,validation_log_loss,capacity_proxy_name,learned_capacity_primary,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fitted_kernel_gamma,empirical_capacity_index
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,535174b4e6edb08549c26f1d9ddf89f7243cc4aa9b9cd2bcfa90fd01bcd8c782,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,weak,1.0,"{""early_stopping"":false,""l2_regularization"":0.01,""learning_rate"":0.08,""max_iter"":200,""max_leaf_nodes"":31}",0.0,0,success,,,2.325780799961649,0,,0.8885714285714286,0.8877396900446546,0.9641778303125821,0.09034679914914374,0.3544016030499887,boosting_total_leaves,4832.0,9464.0,,,,,,4832.0,200.0,,200.0,1.0,,0.6666666666666666
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,57f5e93139ef41e487160b0ce661a6cea45fb183f0530facdf109d47dead617f,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,medium,0.5,"{""early_stopping"":false,""l2_regularization"":0.1,""learning_rate"":0.05,""max_iter"":300,""max_leaf_nodes"":63}",0.0,0,success,,,1.7808420999790542,0,,0.8914285714285715,0.8903992645127397,0.9668702390333596,0.0840959241335693,0.302406380350271,boosting_total_leaves,6837.0,13374.0,,,,,,6837.0,300.0,,300.0,1.0,,1.0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,778f57d7f83d2c9f086b84f67ea8e120d8ae65f95a570bef6b43fc3a7bccacca,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,weak,1.0,"{""alpha"":0.0001,""early_stopping"":true,""hidden_layer_sizes"":[16],""learning_rate_init"":0.001,""max_iter"":250}",0.0,0,success,,,0.2505551999784075,0,,0.8942857142857142,0.8939125295508275,0.963455476753349,0.0929451117384383,0.32193827150757676,mlp_parameter_count,113.0,113.0,,,,,,,,113.0,81.0,1.0,,0.3333333333333333
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,149f03370703e31d1151337722b5026927cc7ed839007ec02d90019e7ecf7628,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,medium,0.5,"{""alpha"":0.001,""early_stopping"":true,""hidden_layer_sizes"":[64,64],""learning_rate_init"":0.001,""max_iter"":300}",0.0,0,success,,,0.09561000001849607,0,,0.9028571428571428,0.9057328605200945,0.9741922773837667,0.13390641216763888,0.4416942557996236,mlp_parameter_count,4609.0,4609.0,,,,,,,,4609.0,18.0,1.0,,0.6666666666666666
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,cc3f8bf9b4787c40ce3ed63b494c8660d7fe2e253494e9fd12c1f567a3f35c60,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,strong,0.0,"{""alpha"":0.01,""early_stopping"":true,""hidden_layer_sizes"":[128,128,64],""learning_rate_init"":0.001,""max_iter"":350}",0.0,0,success,,,0.23822169995401055,0,,0.92,0.9208366167586026,0.9803651168899395,0.06839127680216749,0.24737872525400248,mlp_parameter_count,25601.0,25601.0,,,,,,,,25601.0,18.0,1.0,,1.0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,6edc8574714650e68f9d776e0158c1426a12072569942a380e90d277122520ab,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,strong,0.0,"{""C"":0.03,""max_iter"":1500,""solver"":""lbfgs""}",0.9,0,success,,,0.006652900017797947,0,,1.0,1.0,1.0,0.022172520705119488,0.13021461229512554,effective_degrees_of_freedom,3.0034791843647968,6.0,3.0034791843647968,,,,,,,,6.0,1.0,,0.3333333333333333
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,23885eaccbdca8672c53033872b497afefd1670602298310ef76f00aefa54d48,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,medium,0.5,"{""C"":1.0,""max_iter"":1500,""solver"":""lbfgs""}",0.9,0,success,,,0.007308000000193715,0,,1.0,1.0,1.0,0.0038452947923429993,0.022573690693658964,effective_degrees_of_freedom,4.304566945184333,6.0,4.304566945184333,,,,,,,,10.0,1.0,,0.6666666666666666
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,12e1e10750f6443df4ba57dd1d0342220f56c7a4eaca03c8c09c2911f9df77cd,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,"{""C"":30.0,""max_iter"":1500,""solver"":""lbfgs""}",0.9,0,success,,,0.00741100002778694,0,,1.0,1.0,1.0,0.0021440709642183368,0.009670621239524592,effective_degrees_of_freedom,4.8351038957621935,6.0,4.8351038957621935,,,,,,,,13.0,1.0,,1.0
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,b108e57c64fe55c310f07c6aa52f7067a707d1644060ae39668725b2f45f2c6e,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,"{""C"":1.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":0.05}",0.9,0,success,,,0.023204000026453286,0,,1.0,1.0,1.0,0.0020739467656800356,0.011600386843991364,kernel_effective_rank,2.316370234223592,492.0,,2.316370234223592,0.11714285714285715,,,,,,,1.0,0.05,0.3333333333333333
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-smoke-fef9a5cb6b20,c3f7cf1c73050a432357d7f61aa930d761b917ae298a7835c58a130f9388b024,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,weak,1.0,"{""C"":10.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":""scale""}",0.9,0,success,,,0.023285300005227327,0,,0.9971428571428571,0.9969135802469136,0.9999671657473076,0.0037761992530758485,0.01563541086596552,kernel_effective_rank,10.099380240007049,306.0,,10.099380240007049,0.07285714285714286,,,,,,,1.0,0.2,0.6666666666666666
