geometry,stable_coefficients,rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,boundary_fidelity,fit_seconds,warning_count,warning_messages
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.99,0.06079059996409342,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.9733333333333334,0.04437600000528619,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.9725,0.09065050003118813,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.9308333333333333,0.3998145000077784,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.9341666666666667,0.5024817999801598,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.9491666666666667,0.5769183000084013,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.9475,0.15055299998493865,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.945,0.709174300020095,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.9425,1.0153136000153609,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.8875,0.09296009998070076,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.9691666666666666,0.12469409999903291,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.0,0,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.97,0.17377709998982027,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.9508333333333333,0.006951200019102544,0,
equal_oblique,"[1.0132456102380445, 1.0132456102380445, 1.0132456102380445]",0.9,0,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.9691666666666666,0.0071850999956950545,0,
