component,sum_squares,variance_share,ci_lower,ci_upper,total_sum_squares
family,0.487280450200926,0.022953151159693715,0.020818626759401375,0.02526373579702727,21.22934872038843
rho_train,19.876098784482878,0.9362557017773274,0.9330819602766278,0.9393798256081256,21.22934872038843
family_x_rho,0.5888930010472218,0.027739569819287744,0.026189905517350655,0.02967356787101814,21.22934872038843
config_within_family,0.06921845233333339,0.0032605075758568493,0.002954750478339863,0.0037889691529798784,21.22934872038843
config_within_family_x_rho,0.11562060085185186,0.0054462622652578655,0.004858528825904322,0.006476908451101729,21.22934872038843
seed,0.019407828893055496,0.0009141980354025856,0.00012515839586115212,0.001815606969877366,21.22934872038843
residual,0.07282960257916664,0.00343060936717394,0.0022687636395236975,0.003909681478029627,21.22934872038843
