rho_train,capacity_tier,family_a,family_b,eligible,matched,coverage,mean_gap_difference_a_minus_b,ci_lower,ci_upper,mean_match_distance,adequate_coverage
0.5,high,rbf_svm,random_forest,10,1,0.1,-0.00033333333333310233,-0.00033333333333310233,-0.00033333333333310233,0.5044474449116494,False
0.5,high,rbf_svm,gradient_boosting,10,2,0.2,0.0205333333333333,0.01946666666666659,0.021600000000000008,0.5769148103733142,False
0.5,high,rbf_svm,mlp,10,0,0.0,,,,,False
0.5,high,random_forest,gradient_boosting,10,0,0.0,,,,,False
0.5,high,random_forest,mlp,10,1,0.1,0.033733333333333296,0.033733333333333296,0.033733333333333296,0.5660313721087207,False
0.5,high,gradient_boosting,mlp,10,2,0.2,0.0126,0.010266666666666702,0.014933333333333298,0.520458787136965,False
0.7,low,logistic_regression,rbf_svm,10,3,0.3,0.030044444444444363,0.0197999999999999,0.03633333333333319,0.5142158781512397,False
0.7,low,logistic_regression,random_forest,10,0,0.0,,,,,False
0.7,low,logistic_regression,gradient_boosting,10,1,0.1,-0.0013333333333332142,-0.0013333333333332142,-0.0013333333333332142,0.3025231238776358,False
0.7,low,logistic_regression,mlp,10,0,0.0,,,,,False
0.7,low,rbf_svm,random_forest,10,0,0.0,,,,,False
0.7,low,rbf_svm,gradient_boosting,10,2,0.2,-0.0406,-0.057333333333333486,-0.02386666666666651,0.5602635926563422,False
0.7,low,rbf_svm,mlp,10,2,0.2,-0.029499999999999943,-0.04726666666666668,-0.011733333333333207,0.5545951294194331,False
0.7,low,random_forest,gradient_boosting,10,0,0.0,,,,,False
0.7,low,random_forest,mlp,10,0,0.0,,,,,False
0.7,low,gradient_boosting,mlp,10,0,0.0,,,,,False
0.7,medium,logistic_regression,rbf_svm,10,2,0.2,-0.0038000000000000395,-0.004600000000000104,-0.002999999999999975,0.5329174234045633,False
0.7,medium,logistic_regression,random_forest,10,0,0.0,,,,,False
0.7,medium,logistic_regression,gradient_boosting,10,0,0.0,,,,,False
