scope,excluded_rho,family_incremental_r2,family_incremental_cv_r2,family_cv_rmse_reduction,interaction_incremental_cv_r2
primary,,0.012493077343465053,0.015631016739981574,0.1525772760978661,0.02788199580248696
without_iid,,0.022953151159693652,0.022884174342534203,0.20291008423017043,0.02758258822984827
declared_capacity,,0.012516237568813371,0.01563888940022995,0.15232072508381633,0.02786160205836885
without_regularization,,0.013070971988079938,0.015990727006950034,0.1553254285932535,0.02783983790136424
leave_one_rho_out,0.0,0.02391316205371441,0.02732323025637229,0.20041359263526903,0.03325745944762948
leave_one_rho_out,0.5,0.018180480882302286,0.02151625901417742,0.20192250450490612,0.02607166881974632
leave_one_rho_out,0.7,0.0151560480470454,0.016493430043653556,0.20027777924569978,0.024021670813753282
leave_one_rho_out,0.9,0.004883595225667947,0.008566468874052435,0.049592301584357235,0.028958721034285873
