model,r2,cv_r2,cv_rmse,n_parameters
M0,0.9371698998127298,0.9359177189397206,0.04761696286385438,13
M1,0.9488138705786864,0.9445462283704872,0.04429536198037951,16
M2,0.9613069479221514,0.9601772451104688,0.037536896305644225,20
M3,0.990603457931501,0.9880592409129557,0.020554583375531715,32
