metric,bootstrap_mean,ci_lower,ci_upper,n_resamples
family_incremental_r2,0.012333430353215465,0.010283858511181637,0.013865532339877433,5000
interaction_incremental_r2,0.029446114560754882,0.027522366587034438,0.031595236711843486,5000
