fit_id,config_id,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,rho_train,seed,iid_accuracy,average_ood_accuracy,worst_ood_accuracy,ood_gap,learned_capacity_primary,empirical_capacity_index,converged
4ac6f3b3855c965302698bc1332802bf96f734542a9fce1537f963cd8420a9fa,LR-L,logistic_regression,low,0.0,strong,0.0,0.0,0,0.919,0.91025,0.9043333333333332,0.00875,4.474236089126061,0.2333333333333333,1.0
8373c5a267d3091d35ca82c03c71f38e28e4efdd04cbe1672a1226fb42251343,LR-M,logistic_regression,medium,0.5,medium,0.5,0.0,0,0.9186666666666666,0.9105833333333332,0.905,0.0080833333333333,4.950087476367675,0.5666666666666667,1.0
c3f0f24fe589750fcb2bd14d6e8b28a7c2315e6deea0719278c4255ccd3edc78,LR-H,logistic_regression,high,1.0,weak,1.0,0.0,0,0.9186666666666666,0.9106666666666666,0.905,0.008,4.998130611938505,0.9,1.0
9e5fb0989ec7eacbffd7ad39f46ebd9f45ebb8a90d98d2e182e043d43c6c569a,SVM-L,rbf_svm,low,0.0,medium,0.5,0.0,0,0.9173333333333332,0.9090833333333334,0.9036666666666666,0.0082499999999999,2.34003665354826,0.2333333333333333,1.0
954e9b1966e2a266b6c3641f13cc409e7c85bdf8e3b1d18114fd464cec52a32b,SVM-M,rbf_svm,medium,0.5,weak,1.0,0.0,0,0.9136666666666666,0.9025,0.8953333333333333,0.0111666666666665,11.078462671753918,0.5666666666666667,1.0
6609457c1ad3ebe9100e2d40bc97a1c64b9e9009a1c6f0dcdb0af4262a316f4d,SVM-H,rbf_svm,high,1.0,strong,0.0,0.0,0,0.9153333333333332,0.9025833333333332,0.897,0.01275,174.45312428641725,0.9,1.0
e4d35367e5ec1c97b9c061bd6e212092cf33e0324e69a10f92e671d55e802cfc,RF-L,random_forest,low,0.0,weak,1.0,0.0,0,0.8953333333333333,0.8871666666666667,0.881,0.0081666666666666,3126.0,0.1,1.0
db0088b8d6c9ca5892faeecde69ac5f7f6d1393aaa62043f5c21e75e852652ce,RF-M,random_forest,medium,0.5,strong,0.0,0.0,0,0.9106666666666666,0.9011666666666668,0.896,0.0094999999999999,33519.0,0.5,1.0
892a6bd6d27e7f4dd3467461da4145e2d6e6c3e579242adac1f93e8f5ea4d0e6,RF-H,random_forest,high,1.0,medium,0.5,0.0,0,0.9116666666666666,0.9033333333333332,0.897,0.0083333333333334,98651.0,0.7666666666666667,1.0
66ecd613b378089eac04a3666df3435be322a6d0956676a8f4b8b1301c676761,HGB-L,gradient_boosting,low,0.0,strong,0.0,0.0,0,0.9136666666666666,0.9041666666666668,0.8966666666666666,0.0094999999999999,700.0,0.1833333333333333,1.0
535174b4e6edb08549c26f1d9ddf89f7243cc4aa9b9cd2bcfa90fd01bcd8c782,HGB-M,gradient_boosting,medium,0.5,weak,1.0,0.0,0,0.908,0.8968333333333333,0.8916666666666667,0.0111666666666667,6200.0,0.5166666666666667,1.0
57f5e93139ef41e487160b0ce661a6cea45fb183f0530facdf109d47dead617f,HGB-H,gradient_boosting,high,1.0,medium,0.5,0.0,0,0.9066666666666666,0.8955000000000001,0.8906666666666667,0.0111666666666665,18900.0,0.85,1.0
778f57d7f83d2c9f086b84f67ea8e120d8ae65f95a570bef6b43fc3a7bccacca,MLP-L,mlp,low,0.0,weak,1.0,0.0,0,0.915,0.9103333333333334,0.904,0.0046666666666665,113.0,0.1833333333333333,1.0
149f03370703e31d1151337722b5026927cc7ed839007ec02d90019e7ecf7628,MLP-M,mlp,medium,0.5,medium,0.5,0.0,0,0.9133333333333332,0.9098333333333332,0.9043333333333332,0.0035,4609.0,0.5166666666666667,1.0
cc3f8bf9b4787c40ce3ed63b494c8660d7fe2e253494e9fd12c1f567a3f35c60,MLP-H,mlp,high,1.0,strong,0.0,0.0,0,0.9173333333333332,0.9106666666666666,0.901,0.0066666666666667,25601.0,0.85,1.0
8a69718e9f9f7797d51310a46710d50c7e3ea8ae9447e5df6590284ab396ece2,LR-L,logistic_regression,low,0.0,strong,0.0,0.0,1,0.9116666666666666,0.9139166666666668,0.903,-0.00225,4.473303859606492,0.1666666666666666,1.0
eddbeefacf1ff3aa790096e4a7b1b2abebe1c860a578731a90459706a9de25ab,LR-M,logistic_regression,medium,0.5,medium,0.5,0.0,1,0.911,0.9135833333333332,0.9023333333333332,-0.0025833333333332,4.949559928072091,0.5,1.0
e56133b43398836c1c14acc38dc402dc650f03887bd8ab53b59cc32111dac85a,LR-H,logistic_regression,high,1.0,weak,1.0,0.0,1,0.9113333333333332,0.9135,0.9023333333333332,-0.0021666666666666,4.9981068522847245,0.8333333333333334,1.0
cb90d9b7a3d5baf5006dc33eba47c201ace69d6291697e66ad442266ccc24e44,SVM-L,rbf_svm,low,0.0,medium,0.5,0.0,1,0.9116666666666666,0.9148333333333334,0.9023333333333332,-0.0031666666666667,2.267622868987932,0.1666666666666666,1.0
2ba0d0e7df9be81220ff103e2701fa11138e201290fc9cf5182a89f4d5691f8f,SVM-M,rbf_svm,medium,0.5,weak,1.0,0.0,1,0.9076666666666666,0.90675,0.8963333333333333,0.0009166666666666,10.1168690916444,0.4333333333333333,1.0
328f55bdf62ff0ee7a705cc24552fc698f63cf53a5e0d2fd57b9aa630cd3ae6b,SVM-H,rbf_svm,high,1.0,strong,0.0,0.0,1,0.9066666666666666,0.9071666666666668,0.895,-0.0005,155.209624134786,0.7666666666666667,1.0
b4f1532e54c197d1b7d1653630dd9ce8141b5642a21eff7850a3b9c8820db1b3,RF-L,random_forest,low,0.0,weak,1.0,0.0,1,0.8796666666666667,0.8828333333333334,0.876,-0.0031666666666666,3136.0,0.2166666666666666,1.0
32e8eaa815214077197c97ff2d03d61b35097cb1c18cc08bc941e70d1ac543f4,RF-M,random_forest,medium,0.5,strong,0.0,0.0,1,0.8996666666666666,0.9031666666666668,0.893,-0.0035,34067.0,0.6666666666666666,1.0
bdb5cfee6ad3339c0898f4017942bcb50c9b1c912759edab22b105e5ebbe0d57,RF-H,random_forest,high,1.0,medium,0.5,0.0,1,0.896,0.90575,0.896,-0.00975,100989.0,0.9666666666666668,1.0
07c46fb3b71f19da1118be6a26cff7353b9708df6b13241faf7f20cd98c4aeb7,HGB-L,gradient_boosting,low,0.0,strong,0.0,0.0,1,0.8996666666666666,0.9064166666666666,0.8983333333333333,-0.00675,700.0,0.1833333333333333,1.0
b1c661c92b2489497b7c7d508acf2bcdb08f8d63ed214420f9c5aa8a5a9a7a7f,HGB-M,gradient_boosting,medium,0.5,weak,1.0,0.0,1,0.8996666666666666,0.90475,0.8913333333333333,-0.0050833333333333,6200.0,0.5166666666666667,1.0
b67b2beedebdeb0d6d7eacb5ff7903a06e6ce050cf958722890e5646ebff6684,HGB-H,gradient_boosting,high,1.0,medium,0.5,0.0,1,0.896,0.901,0.8873333333333333,-0.0049999999999998,18900.0,0.85,1.0
e1fa52e86f69b9b483b330d664feb441709bc43567f526fe539cfae9b4c9a087,MLP-L,mlp,low,0.0,weak,1.0,0.0,1,0.9076666666666666,0.9109166666666666,0.9026666666666666,-0.0032499999999999,113.0,0.1833333333333333,1.0
c48d1c1b00c74f2c55913a2e1eb81cb982a0ec21d0400776feb8482552f1ab72,MLP-M,mlp,medium,0.5,medium,0.5,0.0,1,0.91,0.9123333333333332,0.8976666666666666,-0.0023333333333331,4609.0,0.5166666666666667,1.0
0aeedecc7cf3218429522d23fb008ab1dbef686173207a8b01e0e3a1051d1543,MLP-H,mlp,high,1.0,strong,0.0,0.0,1,0.9053333333333332,0.9094166666666668,0.8953333333333333,-0.0040833333333333,25601.0,0.85,1.0
b9fa1edd88f3c0e1e00d1ea84bcc60c7e2fcda9163e8bfd86eaabbe17e4bc2b9,LR-L,logistic_regression,low,0.0,strong,0.0,0.0,2,0.92,0.90975,0.906,0.0102499999999999,4.473058411985708,0.1333333333333333,1.0
e2e8e983bbbd2f95a9d6354db0a8f17cd99822753ff9bd537da8a357a96d9129,LR-M,logistic_regression,medium,0.5,medium,0.5,0.0,2,0.9206666666666666,0.9106666666666666,0.9066666666666666,0.01,4.948932034760778,0.4666666666666667,1.0
a5a46f912c859d2706fe3d39d2ce57c777e16fe6150c168d2ebbf8a86cfcba37,LR-H,logistic_regression,high,1.0,weak,1.0,0.0,2,0.921,0.91075,0.9066666666666666,0.01025,4.99808008171556,0.8,1.0
a09627e3872f427c7173981d854c5a7f5aed4746c282e7389edb208546dfdf96,SVM-L,rbf_svm,low,0.0,medium,0.5,0.0,2,0.9203333333333332,0.9068333333333334,0.9016666666666666,0.0134999999999999,2.264294508950801,0.1333333333333333,1.0
28338f47bdfa88a6c1ef0df05fa574927c14c9f5cc8594221293d620396ed198,SVM-M,rbf_svm,medium,0.5,weak,1.0,0.0,2,0.9136666666666666,0.9039166666666668,0.8986666666666666,0.0097499999999999,10.213995916782734,0.5,1.0
7f1500f21dd04963b2fd7c038a34124f19c889b21a0e2b7f8d192738f9bbe146,SVM-H,rbf_svm,high,1.0,strong,0.0,0.0,2,0.9133333333333332,0.9031666666666668,0.8953333333333333,0.0101666666666666,155.22853547815944,0.8,1.0
a053afe47c2f46df0ad379efb77e4fedcd29c9b843d303f82dc041df041e426b,RF-L,random_forest,low,0.0,weak,1.0,0.0,2,0.8973333333333333,0.8861666666666667,0.882,0.0111666666666666,3115.0,0.0666666666666666,1.0
989fe40304a7f8e243286203114d67bc8c3a99bb512d9c40bc89d9029bd33d93,RF-M,random_forest,medium,0.5,strong,0.0,0.0,2,0.9166666666666666,0.90525,0.8963333333333333,0.0114166666666666,33466.0,0.4666666666666667,1.0
c1c4d93006932a72640c035ef2af30afab3791db50327e597b642a1e2a3716aa,RF-H,random_forest,high,1.0,medium,0.5,0.0,2,0.9133333333333332,0.9033333333333332,0.893,0.01,101076.0,1.0,1.0
561275de17dd06f9d1889e1ce3955ac2741c2d118ef82bed9372fe80f15c788a,HGB-L,gradient_boosting,low,0.0,strong,0.0,0.0,2,0.9206666666666666,0.9065833333333332,0.8973333333333333,0.0140833333333333,700.0,0.1833333333333333,1.0
b3a1aec3b272963791517c30d444ce7694ff77cbfa8a447b721bcc758fec8adf,HGB-M,gradient_boosting,medium,0.5,weak,1.0,0.0,2,0.9156666666666666,0.90225,0.8923333333333333,0.0134166666666666,6200.0,0.5166666666666667,1.0
4c37673b65761710674a84146213d3bad366c48258a3e341f5cfce71f369d4f4,HGB-H,gradient_boosting,high,1.0,medium,0.5,0.0,2,0.9093333333333332,0.9036666666666666,0.8933333333333333,0.0056666666666667,18900.0,0.85,1.0
a64bb818bc97af4f8cda773abb4674773fb71f7bfe4cc90b3ebdfd52ae380ffc,MLP-L,mlp,low,0.0,weak,1.0,0.0,2,0.9236666666666666,0.9089166666666666,0.9013333333333332,0.01475,113.0,0.1833333333333333,1.0
1c87e06790d87d3e71bb9dc89af1f1565fbf392c517fccbb0f630d8f5e8cc79b,MLP-M,mlp,medium,0.5,medium,0.5,0.0,2,0.9206666666666666,0.9068333333333334,0.9023333333333332,0.0138333333333332,4609.0,0.5166666666666667,1.0
62b8e6c810ad46caa51052b3906ee4192adabe07bdd680856244875e16a85892,MLP-H,mlp,high,1.0,strong,0.0,0.0,2,0.914,0.9018333333333334,0.8916666666666667,0.0121666666666666,25601.0,0.85,1.0
240511ba5501e7c8c578dc75cfb23d836f9dd0263f7d207d5856fcbe3975b5d9,LR-L,logistic_regression,low,0.0,strong,0.0,0.0,3,0.9023333333333332,0.9110833333333332,0.9056666666666666,-0.0087499999999999,4.474111288162211,0.2,1.0
1b6010210017b2c09e6d7b1cd9e9fbfe6205e68806159e9680d9480cc18f1369,LR-M,logistic_regression,medium,0.5,medium,0.5,0.0,3,0.9013333333333332,0.9120833333333334,0.9063333333333332,-0.01075,4.947860313266985,0.4333333333333333,1.0
