experiment_id,run_id,fit_id,config_id,config_hash,family,capacity_tier,capacity_tier_score,regularization_tier,regularization_flexibility_score,hyperparameters_json,rho_train,seed,status,failure_type,failure_message,fit_seconds,warning_count,warning_messages,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_brier_score,validation_log_loss,capacity_proxy_name,learned_capacity_primary,structural_parameter_count,effective_degrees_of_freedom,kernel_effective_rank,support_vector_fraction,tree_total_leaves,tree_mean_depth,boosting_total_leaves,boosting_iterations,mlp_parameter_count,optimization_iterations,converged,fitted_kernel_gamma,empirical_capacity_index
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,535174b4e6edb08549c26f1d9ddf89f7243cc4aa9b9cd2bcfa90fd01bcd8c782,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,weak,1.0,"{""early_stopping"":false,""l2_regularization"":0.01,""learning_rate"":0.08,""max_iter"":200,""max_leaf_nodes"":31}",0.0,0,success,,,2.7736082999617797,0,,0.893,0.8930640607513509,0.9679761251111384,0.0764750491317825,0.2524104670100958,boosting_total_leaves,6200.0,12200.0,,,,,,6200.0,200.0,,200.0,1.0,,0.5166666666666667
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,57f5e93139ef41e487160b0ce661a6cea45fb183f0530facdf109d47dead617f,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,medium,0.5,"{""early_stopping"":false,""l2_regularization"":0.1,""learning_rate"":0.05,""max_iter"":300,""max_leaf_nodes"":63}",0.0,0,success,,,5.020702800014988,0,,0.8955,0.8955478612912162,0.9676160815458672,0.0803913210990919,0.2877023366518891,boosting_total_leaves,18900.0,37500.0,,,,,,18900.0,300.0,,300.0,1.0,,0.85
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,778f57d7f83d2c9f086b84f67ea8e120d8ae65f95a570bef6b43fc3a7bccacca,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,weak,1.0,"{""alpha"":0.0001,""early_stopping"":true,""hidden_layer_sizes"":[16],""learning_rate_init"":0.001,""max_iter"":250}",0.0,0,success,,,0.2886907000211067,0,,0.9085,0.908505429156928,0.9748379553926024,0.0692110359452445,0.2365076816862338,mlp_parameter_count,113.0,113.0,,,,,,,,113.0,30.0,1.0,,0.18333333333333332
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,149f03370703e31d1151337722b5026927cc7ed839007ec02d90019e7ecf7628,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,medium,0.5,"{""alpha"":0.001,""early_stopping"":true,""hidden_layer_sizes"":[64,64],""learning_rate_init"":0.001,""max_iter"":300}",0.0,0,success,,,0.6958762999856845,0,,0.906,0.9061316419286732,0.9751429923020684,0.0645789822637945,0.2038526169043142,mlp_parameter_count,4609.0,4609.0,,,,,,,,4609.0,32.0,1.0,,0.5166666666666667
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,cc3f8bf9b4787c40ce3ed63b494c8660d7fe2e253494e9fd12c1f567a3f35c60,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,strong,0.0,"{""alpha"":0.01,""early_stopping"":true,""hidden_layer_sizes"":[128,128,64],""learning_rate_init"":0.001,""max_iter"":350}",0.0,0,success,,,2.3824191999738105,0,,0.912,0.9118903387309863,0.9755850457905406,0.0633078091010977,0.2017475952148929,mlp_parameter_count,25601.0,25601.0,,,,,,,,25601.0,27.0,1.0,,0.85
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,8a69718e9f9f7797d51310a46710d50c7e3ea8ae9447e5df6590284ab396ece2,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,strong,0.0,"{""C"":0.03,""max_iter"":1500,""solver"":""lbfgs""}",0.0,1,success,,,0.0124885999830439,0,,0.9185,0.918343119951974,0.9784874788407592,0.0625458172797006,0.2138145101976238,effective_degrees_of_freedom,4.473303859606492,6.0,4.473303859606492,,,,,,,,8.0,1.0,,0.16666666666666666
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,eddbeefacf1ff3aa790096e4a7b1b2abebe1c860a578731a90459706a9de25ab,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,medium,0.5,"{""C"":1.0,""max_iter"":1500,""solver"":""lbfgs""}",0.0,1,success,,,0.0093314000405371,0,,0.9175,0.91734090606149,0.9784784589157448,0.0581152868433747,0.1876754629885527,effective_degrees_of_freedom,4.949559928072091,6.0,4.949559928072091,,,,,,,,10.0,1.0,,0.5
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,e56133b43398836c1c14acc38dc402dc650f03887bd8ab53b59cc32111dac85a,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,weak,1.0,"{""C"":30.0,""max_iter"":1500,""solver"":""lbfgs""}",0.0,1,success,,,0.0089696000213734,0,,0.9175,0.91734090606149,0.9784804633435258,0.0581079677839113,0.1874200459299519,effective_degrees_of_freedom,4.9981068522847245,6.0,4.9981068522847245,,,,,,,,10.0,1.0,,0.8333333333333334
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,cb90d9b7a3d5baf5006dc33eba47c201ace69d6291697e66ad442266ccc24e44,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,medium,0.5,"{""C"":1.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":0.05}",0.0,1,success,,,0.8082950999960303,0,,0.9175,0.9173880101143426,0.9773028620222072,0.0595455490225269,0.1926405678264005,kernel_effective_rank,2.267622868987932,7614.0,,2.267622868987932,0.2538,,,,,,,1.0,0.05,0.16666666666666666
PHASE1-FAMILY-CAPACITY,PHASE1-FAMILY-CAPACITY-complete-fef9a5cb6b20,2ba0d0e7df9be81220ff103e2701fa11138e201290fc9cf5182a89f4d5691f8f,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,weak,1.0,"{""C"":10.0,""cache_size"":1000,""calibration_cv"":3,""gamma"":""scale""}",0.0,1,success,,,0.8587333000032231,0,,0.9145,0.9141458481786268,0.9738522395972704,0.0637624057704476,0.2075725027103285,kernel_effective_rank,10.1168690916444,6768.0,,10.1168690916444,0.2256,,,,,,,1.0,0.2,0.43333333333333335
