batch_size,cosine_terminal_lr,dataset_seed,epochs,fidelity_drop_from_20,fidelity_min,fidelity_recovery,final_ood_gap,fit_id,fit_seconds,init_seed,initial_lr,momentum,n_iid_test,n_probe,n_train,n_validation,prereg_frozen_sha,rho_train,sat,schedule,shuffle_seed,status,terminal_d3,terminal_fidelity,terminal_iid_accuracy,terminal_train_loss,trajectory_class,weight_decay,width,source_file
64,0.001,2,200,0.00924999999999998,0.966,0.017750000000000044,0.014416666666666716,rho0_seed02_width512_cosine,12.184521300001506,537299261,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,224077759,SUCCESS,0.023,0.98375,0.921,0.18073119335420285,No-acquisition / no-distortion,0.0001,512,rho0_seed02_width512_cosine.json
64,0.001,2,200,0.005499999999999949,0.98475,0.0014999999999999458,0.009666666666666629,rho0_seed02_width64_constant,3.8858873000008316,755534894,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,224077759,SUCCESS,0.021333333333333333,0.98625,0.9206666666666666,0.18700236276090867,No-acquisition / no-distortion,0.0001,64,rho0_seed02_width64_constant.json
64,0.001,2,200,0.0020000000000000018,0.9885,0.0010000000000000009,0.013166666666666715,rho0_seed02_width64_cosine,3.747538899999199,755534894,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,224077759,SUCCESS,0.021666666666666667,0.9895,0.922,0.18882946123440808,No-acquisition / no-distortion,0.0001,64,rho0_seed02_width64_cosine.json
64,0.001,2,200,0.005750000000000033,0.987,0.0,0.010749999999999982,rho0_seed02_width8_constant,2.1599636999999348,515102337,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,224077759,SUCCESS,0.011,0.987,0.9213333333333333,0.19759673051788446,No-acquisition / no-distortion,0.0001,8,rho0_seed02_width8_constant.json
64,0.001,2,200,0.0012499999999999734,0.9915,0.0020000000000000018,0.01266666666666666,rho0_seed02_width8_cosine,2.413084000001618,515102337,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,224077759,SUCCESS,0.011,0.9935,0.9216666666666666,0.19795859328084042,No-acquisition / no-distortion,0.0001,8,rho0_seed02_width8_cosine.json
64,0.001,3,200,0.011499999999999955,0.9645,0.017000000000000015,0.00024999999999997247,rho0_seed03_width512_constant,12.550822100000005,2338088193,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2671242619,SUCCESS,0.04133333333333333,0.9815,0.8993333333333333,0.16744183725162537,No-acquisition / no-distortion,0.0001,512,rho0_seed03_width512_constant.json
64,0.001,3,200,0.009000000000000008,0.9675,0.008499999999999952,-0.004666666666666708,rho0_seed03_width512_cosine,299.3927993999987,2338088193,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2671242619,SUCCESS,0.03233333333333333,0.976,0.9016666666666666,0.173036723032077,No-acquisition / no-distortion,0.0001,512,rho0_seed03_width512_cosine.json
64,0.001,3,200,0.01475000000000004,0.968,0.006249999999999978,-0.00633333333333333,rho0_seed03_width64_constant,3.3064673999997467,12814784,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2671242619,SUCCESS,0.024,0.97425,0.9013333333333333,0.18177210743238376,No-acquisition / no-distortion,0.0001,64,rho0_seed03_width64_constant.json
64,0.001,3,200,0.007000000000000006,0.97575,0.0,-0.008416666666666683,rho0_seed03_width64_cosine,3.5343083000007027,12814784,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,cosine,2671242619,SUCCESS,0.019333333333333334,0.97575,0.9013333333333333,0.18554538517087976,No-acquisition / no-distortion,0.0001,64,rho0_seed03_width64_cosine.json
64,0.001,3,200,0.0,0.986,0.00275000000000003,-0.011000000000000065,rho0_seed03_width8_constant,1.9756823000006989,3374278890,0.01,0.9,3000,4000,5000,2000,654e72b39310847b0d369796c31825e379aaf909,0.0,inf,constant,2671242619,SUCCESS,0.015,0.98875,0.8996666666666666,0.19557463442862405,No-acquisition / no-distortion,0.0001,8,rho0_seed03_width8_constant.json
