fit_id,fidelity_min,fidelity_drop_from_20,fidelity_recovery,sat,trajectory_class_recomputed
rho0_seed09_width8_cosine,0.9875,0.0030000000000000027,0.0,inf,No-acquisition / no-distortion
rho0_seed10_width512_constant,0.963,0.01750000000000007,0.0022500000000000853,inf,No-acquisition / no-distortion
rho0_seed10_width512_cosine,0.96675,0.01375000000000004,0.00924999999999998,inf,No-acquisition / no-distortion
rho0_seed10_width64_constant,0.97975,0.011249999999999982,0.003750000000000031,inf,No-acquisition / no-distortion
rho0_seed10_width64_cosine,0.9815,0.009000000000000008,0.007499999999999951,inf,No-acquisition / no-distortion
rho0_seed10_width8_constant,0.9895,0.004249999999999976,0.0034999999999999476,inf,No-acquisition / no-distortion
rho0_seed10_width8_cosine,0.99225,0.0012500000000000844,0.000500000000000056,inf,No-acquisition / no-distortion
rho0_seed11_width512_constant,0.9695,0.004749999999999921,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0_seed11_width512_cosine,0.9745,0.0,0.0034999999999999476,inf,No-acquisition / no-distortion
rho0_seed11_width64_constant,0.97375,0.00924999999999998,0.0034999999999999476,inf,No-acquisition / no-distortion
rho0_seed11_width64_cosine,0.98025,0.0030000000000000027,0.0012500000000000844,inf,No-acquisition / no-distortion
rho0_seed11_width8_constant,0.985,0.0012499999999999734,0.0,inf,No-acquisition / no-distortion
rho0_seed11_width8_cosine,0.986,0.0,0.0012499999999999734,inf,No-acquisition / no-distortion
rho0_seed12_width512_constant,0.96725,0.022499999999999964,0.004249999999999976,inf,No-acquisition / no-distortion
rho0_seed12_width512_cosine,0.97875,0.01200000000000001,0.0034999999999999476,inf,No-acquisition / no-distortion
rho0_seed12_width64_constant,0.983,0.00824999999999998,0.0012499999999999734,inf,No-acquisition / no-distortion
rho0_seed12_width64_cosine,0.9865,0.0044999999999999485,0.0034999999999999476,inf,No-acquisition / no-distortion
rho0_seed12_width8_constant,0.98525,0.005250000000000088,0.009000000000000008,inf,No-acquisition / no-distortion
rho0_seed12_width8_cosine,0.991,0.0,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0_seed13_width512_constant,0.9545,0.029000000000000026,0.0,inf,No-acquisition / no-distortion
rho0_seed13_width512_cosine,0.97425,0.008750000000000036,0.0025000000000000577,inf,No-acquisition / no-distortion
rho0_seed13_width64_constant,0.9765,0.010249999999999981,0.00649999999999995,inf,No-acquisition / no-distortion
rho0_seed13_width64_cosine,0.98275,0.0040000000000000036,0.0010000000000000009,inf,No-acquisition / no-distortion
rho0_seed13_width8_constant,0.98875,0.0,0.005249999999999977,inf,No-acquisition / no-distortion
rho0_seed13_width8_cosine,0.98875,0.0,0.006249999999999978,inf,No-acquisition / no-distortion
rho0_seed14_width512_constant,0.9545,0.007499999999999951,0.027000000000000024,inf,No-acquisition / no-distortion
rho0_seed14_width512_cosine,0.962,0.0,0.018000000000000016,inf,No-acquisition / no-distortion
rho0_seed14_width64_constant,0.97775,0.005249999999999977,0.0050000000000000044,inf,No-acquisition / no-distortion
rho0_seed14_width64_cosine,0.98125,0.0020000000000000018,0.0017500000000000293,inf,No-acquisition / no-distortion
rho0_seed14_width8_constant,0.98225,0.005250000000000088,0.000500000000000056,inf,No-acquisition / no-distortion
rho0_seed14_width8_cosine,0.98325,0.0040000000000000036,0.0002500000000000835,inf,No-acquisition / no-distortion
rho0_seed15_width512_constant,0.9645,0.005499999999999949,0.017749999999999932,inf,No-acquisition / no-distortion
rho0_seed15_width512_cosine,0.9635,0.005749999999999922,0.020749999999999935,inf,No-acquisition / no-distortion
rho0_seed15_width64_constant,0.98125,0.007750000000000035,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0_seed15_width64_cosine,0.98125,0.008000000000000007,0.0007500000000000284,inf,No-acquisition / no-distortion
rho0_seed15_width8_constant,0.98675,0.00275000000000003,0.00275000000000003,inf,No-acquisition / no-distortion
