rho_train,width,n_seeds,schedule_effect_cosine_minus_constant,ci95_low,ci95_high,positive_seeds,negative_seeds,zero_seeds,iid_accuracy_difference,iid_match_guard_pass
0.0,8,20,0.0010624999999999996,0.00015000000000000568,0.0019874999999999975,13,5,2,-1.666666666666483e-05,True
0.0,64,20,0.0030500000000000193,0.0021125000000000228,0.004000000000000015,18,1,1,0.0013999999999999956,True
0.0,512,20,0.005849999999999983,0.003424999999999983,0.008400312499999969,18,2,0,0.0030333333333333436,True
0.7,8,20,0.0015749999999999987,0.0005125000000000042,0.0027000000000000023,14,5,1,1.666666666665928e-05,True
0.7,64,20,0.0028749999999999887,0.0019375000000000028,0.0037749999999999893,17,2,1,0.0004999999999999949,True
0.7,512,20,0.008325000000000004,0.006262500000000009,0.010637812500000022,20,0,0,0.0009333333333333526,True
0.9,8,20,0.002325000000000016,0.0006746875000000204,0.004162500000000002,13,7,0,8.333333333333526e-05,True
0.9,64,20,0.002037500000000009,0.0009625000000000104,0.003199999999999997,13,5,2,1.6666666666675934e-05,True
0.9,512,20,0.0038624999999999853,0.0023624999999999896,0.0053374999999999785,16,4,0,-3.333333333333521e-05,True
