experiment_seed,split,seed,n_samples,rho_requested,empirical_spurious_correlation,positive_rate,x1_mean,x1_std,x2_mean,x2_std,x3_mean,x3_std
3,test_rho_0.9,3029309739,3000,0.9,0.9013798847396903,0.493,0.016733869531360655,0.9894770103819193,0.022592297247000123,1.0177962246899832,-0.009865138851030904,1.0397111852414238
3,test_rho_0.6,3983396584,3000,0.6,0.5997649222958739,0.503,0.006177368992915482,1.010145886379727,0.010833656813307812,1.0088154791350872,0.010061127527319268,0.9982397582622522
3,test_rho_0.3,2233991172,3000,0.3,0.2845602898407551,0.5086666666666667,0.0069692837349567445,0.9801985184170067,-0.008186079640153734,0.991328215599351,0.002798842724535625,0.9895904184842546
3,test_rho_0.0,1971328749,3000,0.0,0.0027489419209514826,0.48933333333333334,0.00400049786064618,1.0021988775895834,-0.008169867603085542,0.9854284005545139,-0.023376406146358605,0.9764913094522686
3,test_rho_-0.3,257578637,3000,-0.3,-0.2993185797842332,0.49733333333333335,-0.00992791251118143,0.9897983697496142,0.0030186568248655754,1.0141912153132833,0.013902466996569125,1.001603154562871
3,test_rho_-0.6,1506914357,3000,-0.6,-0.5954734148179422,0.5123333333333333,0.026316348858471006,0.9872957900483492,0.002733606075988593,1.0018063479791206,0.005400229401367052,0.9817969877029581
3,test_rho_-0.9,43278347,3000,-0.9,-0.9010968220920241,0.5003333333333333,0.01482674586167797,0.986058603045778,-0.024062500373786717,1.0006422196248048,-0.022910421386831595,0.9864951861433051
4,train,2570931004,5000,0.9,0.901966779999281,0.4912,-0.008973586261656901,0.9987483879825647,0.00376283628802315,0.9996152209260507,0.013212364266281583,0.9884467264787081
4,validation,2882990446,2000,0.9,0.9009583020378701,0.4835,-0.021295821958295512,1.0023069032520764,0.005478387405013596,0.9964745361111815,-0.007863528018070623,1.0072915836127252
4,test_rho_0.9,3556049681,3000,0.9,0.902767150040199,0.5076666666666667,-0.0070865089529637175,0.9742209060482505,0.017102763312078093,0.9920040221886245,0.0469876774716713,1.017011055995136
4,test_rho_0.6,502059968,3000,0.6,0.6102749480406069,0.49033333333333334,-0.007432883144504999,1.0094605716614324,0.016254823187366783,0.9933275943861615,-0.0028067894809798363,0.9905917255528361
4,test_rho_0.3,84615493,3000,0.3,0.3132455891985089,0.506,0.022188542276334954,1.010160065112437,-0.009588341363594802,0.9866238926139381,-0.006367415121988202,0.9987613781402619
4,test_rho_0.0,1702394793,3000,0.0,0.0023506365789491947,0.49233333333333335,-0.02308631168523872,1.0075088435621407,-0.012053494053949237,0.9963483959233125,-0.03178520264928034,0.9866608570175333
4,test_rho_-0.3,1252136539,3000,-0.3,-0.3122811836681596,0.505,0.026386113259431635,1.0062727822161972,0.012629722176917985,1.0146467556513659,0.013238744594135265,1.011438896212488
4,test_rho_-0.6,3072372506,3000,-0.6,-0.6136495347581262,0.517,0.030347326568023577,1.0038975978206939,-0.009405125218176888,1.0114028907599737,0.008377037828309572,0.9845808647978467
4,test_rho_-0.9,3353388033,3000,-0.9,-0.8997195272813777,0.495,-0.0029011265714672992,1.0250069258219552,0.03219667996409063,1.0137933661982008,0.00801874718729598,0.9797464476015078
