experiment_seed,split,seed,n_samples,rho_requested,empirical_spurious_correlation,positive_rate,x1_mean,x1_std,x2_mean,x2_std,x3_mean,x3_std
0,train,3964924996,5000,0.9,0.8971809182893968,0.5054,0.005799751417413907,0.9911408680046992,-0.015354593516613465,1.0073916606303688,0.005662714531656748,0.9787161822309187
0,validation,3141116543,2000,0.9,0.9012898525313866,0.507,0.040117191517034315,0.9996111363440084,0.006449884305291567,0.9896532491284662,-0.006617931898751351,1.01042010661247
0,test_rho_0.9,1505558374,3000,0.9,0.9002559014577504,0.5116666666666667,0.007457465813267033,0.9906297050407477,-0.0067319171602448664,0.9896820433495583,-0.005785865826953831,0.986863662942056
0,test_rho_0.6,3608831833,3000,0.6,0.5847051987864984,0.5086666666666667,0.019652872671789758,0.9828896540017792,-0.02706122242543564,0.9765731940527077,0.0013460889658194486,1.0142003360709315
0,test_rho_0.3,1589556180,3000,0.3,0.3180021309109495,0.5036666666666667,-0.0051537078251096624,0.9994481737775291,-0.026241379759575505,0.9857569231324462,-0.020950887409997145,0.9917852370434067
0,test_rho_0.0,3945366555,3000,0.0,0.0017185375823683625,0.5013333333333333,0.03949439448732595,1.006374040738693,0.026712695425315465,0.9915280742610469,-0.0319143165903747,0.9817604144539781
0,test_rho_-0.3,3678324062,3000,-0.3,-0.2939129138038129,0.49933333333333335,-0.019085976215544913,1.0069611196227997,-0.006047006116251076,1.004076968649301,-0.004404954366113678,1.012336832577291
0,test_rho_-0.6,1253489183,3000,-0.6,-0.6140615413564189,0.497,-0.01774444981187114,1.0026888052529976,-0.02104859583719149,1.0235538196514344,-0.013870861672617911,0.9851489308540474
0,test_rho_-0.9,465537921,3000,-0.9,-0.8985404314786236,0.49466666666666664,-0.014776698140436887,1.0190288682560236,-0.004551545802268837,0.9984262750621096,-0.021789468842977708,0.9792236417549463
1,train,1189033389,5000,0.9,0.9023154627027075,0.511,-0.002851267687717122,1.0141483961572342,-0.04242082037689048,1.000058346875211,-0.013601557660132593,1.0033043448230667
1,validation,1596810411,2000,0.9,0.8985574134930301,0.5075,-0.019477736279227678,0.987667597729276,-0.00882196586444054,0.989523020802959,0.04127459495093529,0.9908252273857375
1,test_rho_0.9,2097067815,3000,0.9,0.8975679166938533,0.497,-0.008994836526731177,0.9768156671076341,-0.019035444157710125,1.0069883645179283,0.012151355134091636,1.0068369612668389
1,test_rho_0.6,1987473187,3000,0.6,0.6156798626028128,0.5,0.009858235698996421,1.0024333046353293,-0.009211038762521365,0.9962678329369256,-0.028021817463158443,1.0233786189287528
1,test_rho_0.3,788871104,3000,0.3,0.30020501874278466,0.5143333333333333,0.03511983174525472,1.0033866935721059,0.00603162487951236,0.9959997150201392,0.025842081145665358,0.9949315533603494
1,test_rho_0.0,1437779895,3000,0.0,-0.004499557008121384,0.49066666666666664,0.014718599928736314,1.0090302218320106,-0.008936626534254075,1.0102612440893788,-0.05645273603811533,1.0032603877698851
1,test_rho_-0.3,1163909307,3000,-0.3,-0.3265391115512528,0.509,0.013343457138810284,1.0218105077543012,0.02532891465407253,1.0020308184769104,0.020742371645828806,1.0038823852368826
1,test_rho_-0.6,3556873808,3000,-0.6,-0.585556873399207,0.5033333333333333,0.008240915590772991,0.9910926809986311,0.008458612369307034,1.0150679199878474,-0.014560450121122092,1.0088022720654501
1,test_rho_-0.9,2577273498,3000,-0.9,-0.9008753675407695,0.5096666666666667,-0.014596302669659465,0.9948336532099586,-0.021165123374313113,0.9930811011733358,0.020545680651537616,1.0209941482155724
2,train,307626447,5000,0.9,0.9010048673235844,0.493,0.0038490000416785655,1.0049753606169947,0.013159173666764971,0.9776584228192735,0.017275280783525145,1.0092690144243277
2,validation,1340026844,2000,0.9,0.9036946728847068,0.5165,0.0023398510068584643,1.002190357267069,-0.0032970680699732514,1.0135979449614687,0.02773305158121866,0.9970111460156357
2,test_rho_0.9,534565213,3000,0.9,0.9006751281525843,0.5063333333333333,0.006487941142545082,1.0094673025996417,0.0076364621198459545,0.9970255601629424,0.03046113685521826,1.0113773637690782
2,test_rho_0.6,2008074403,3000,0.6,0.6004230021647515,0.49366666666666664,-0.024995387079444646,0.9967726317768254,-0.0038594160015569113,1.0205269272338953,0.005504015477082681,0.9947388890269732
2,test_rho_0.3,1212783336,3000,0.3,0.2912510278985546,0.496,-0.013541844384897521,1.0030591105111375,0.0329931075190681,0.9905313541006796,0.020564271943193442,0.9957542773927293
2,test_rho_0.0,3315746218,3000,0.0,0.017895314290058428,0.49566666666666664,-0.01333120949904937,0.9898368452226933,0.01683391727205356,1.0041162625075553,0.008924109392193232,0.99591937630808
2,test_rho_-0.3,1748025480,3000,-0.3,-0.28075063170196013,0.495,-0.015081027360106039,0.9995705699873874,0.022211963949356088,0.9889535857328182,-0.011716661804909994,0.9922569281246667
2,test_rho_-0.6,3192729715,3000,-0.6,-0.6094908512471364,0.48533333333333334,-0.025001269305060476,1.0096888436252616,0.021601223202024244,1.0065668630708733,-0.007793761396934456,0.9787409126594574
2,test_rho_-0.9,90626706,3000,-0.9,-0.9024499059760048,0.5063333333333333,0.015936340473918228,1.0179487808026673,-0.010546809098895864,0.9862537796078229,-0.0003084809723029653,1.0067752170860087
3,train,457190280,5000,0.9,0.8994466992007133,0.5002,-0.0010784062208208654,1.0006980268429495,0.006750575271618325,0.9975792641782758,0.01632329941638788,1.0011394371605082
3,validation,960329833,2000,0.9,0.897594285666218,0.501,0.009480119589488413,1.0107765435767935,-0.002500760785713082,1.0084035607413433,0.011116142668379876,1.0023764929985566
