seed,model,feature_condition,validation_accuracy,iid_accuracy,average_ood_accuracy,worst_environment_accuracy,ood_gap,severe_shift_accuracy,degradation_slope,spurious_reliance_score
0,logistic_regression,all_features,0.995,0.996,0.5985,0.23066666666666666,0.39749999999999996,0.3378333333333333,-0.40051587301587266,0.393
0,rbf_svm,all_features,0.9955,0.9953333333333333,0.6153888888888889,0.2663333333333333,0.3799444444444444,0.3673333333333333,-0.38261904761904747,0.3630000000000001
0,random_forest,all_features,0.9925,0.99,0.491888888888889,0.076,0.498111111111111,0.18683333333333335,-0.48079365079365044,0.4730000000000001
0,gradient_boosting,all_features,0.9925,0.991,0.5197777777777778,0.09266666666666666,0.4712222222222222,0.21583333333333335,-0.4690873015873012,0.4535
0,mlp,all_features,0.9925,0.9933333333333333,0.6921111111111111,0.42133333333333334,0.30122222222222217,0.49533333333333335,-0.3047222222222218,0.2865000000000001
0,logistic_regression,stable_only,0.908,0.9173333333333333,0.9102777777777779,0.9053333333333333,0.007055555555555482,0.9083333333333333,-0.0028571428571426524,0.0
0,rbf_svm,stable_only,0.906,0.9176666666666666,0.9099444444444443,0.9066666666666666,0.007722222222222297,0.9105,-0.0015873015873012462,0.0
0,random_forest,stable_only,0.8955,0.9066666666666666,0.9037777777777779,0.899,0.0028888888888887188,0.903,-0.0006746031746029295,0.0
0,gradient_boosting,stable_only,0.888,0.9083333333333333,0.8992222222222223,0.8886666666666667,0.00911111111111107,0.8966666666666667,-0.0057936507936505255,0.0
0,mlp,stable_only,0.9085,0.912,0.9076111111111111,0.904,0.004388888888888887,0.9046666666666667,-0.0028571428571426234,0.0
1,logistic_regression,all_features,0.995,0.994,0.617111111111111,0.271,0.37688888888888894,0.377,-0.3833333333333332,0.377
1,rbf_svm,all_features,0.995,0.9933333333333333,0.6290555555555555,0.29933333333333334,0.3642777777777778,0.39849999999999997,-0.3690476190476186,0.37549999999999994
1,random_forest,all_features,0.9875,0.9886666666666667,0.4850555555555556,0.059,0.5036111111111111,0.18933333333333333,-0.4894841269841268,0.4525
1,gradient_boosting,all_features,0.9895,0.9883333333333333,0.5217777777777778,0.10366666666666667,0.4665555555555555,0.23333333333333334,-0.46710317460317435,0.4515
1,mlp,all_features,0.9945,0.9936666666666667,0.6378888888888888,0.316,0.35577777777777786,0.4103333333333333,-0.3634920634920632,0.3460000000000001
1,logistic_regression,stable_only,0.8985,0.903,0.91,0.903,-0.007000000000000006,0.9126666666666666,0.0034523809523813506,0.0
1,rbf_svm,stable_only,0.894,0.903,0.9088333333333333,0.903,-0.005833333333333246,0.9115,0.0026190476190476146,0.0
1,random_forest,stable_only,0.8915,0.9013333333333333,0.9019999999999998,0.895,-0.0006666666666664822,0.905,1.7683049711963416e-16,0.0
1,gradient_boosting,stable_only,0.8875,0.8946666666666667,0.8997222222222222,0.8943333333333333,-0.00505555555555548,0.9018333333333333,0.001111111111111223,0.0
