rho_train,seed,model,feature_condition,validation_accuracy,iid_accuracy,average_ood_accuracy,worst_environment_accuracy,ood_gap,severe_shift_accuracy,degradation_slope,spurious_reliance_score
0.9,3,rbf_svm,stable_only,0.9095,0.8916666666666667,0.9107333333333333,0.8916666666666667,-0.019066666666666565,0.9156666666666666,0.013507936507936733,0.0
0.9,3,random_forest,stable_only,0.91,0.887,0.9038666666666666,0.887,-0.016866666666666585,0.9085,0.012460317460317663,0.0
0.9,3,gradient_boosting,stable_only,0.906,0.8876666666666667,0.8990666666666666,0.8876666666666667,-0.011399999999999855,0.9023333333333333,0.008904761904762028,0.0
0.9,3,mlp,stable_only,0.906,0.893,0.9107333333333333,0.893,-0.017733333333333268,0.9156666666666666,0.012253968253968415,0.0
0.9,4,logistic_regression,all_features,0.9935,0.991,0.5504000000000001,0.25666666666666665,0.4405999999999999,0.3536666666666667,-0.3969999999999998,0.37250000000000005
0.9,4,rbf_svm,all_features,0.9925,0.9916666666666667,0.5602,0.2763333333333333,0.43146666666666667,0.37,-0.387126984126984,0.35950000000000004
0.9,4,random_forest,all_features,0.99,0.9873333333333333,0.40599999999999997,0.04833333333333333,0.5813333333333333,0.1675,-0.5010158730158726,0.485
0.9,4,gradient_boosting,all_features,0.991,0.99,0.45253333333333334,0.102,0.5374666666666666,0.22083333333333333,-0.47507936507936466,0.4475
0.9,4,mlp,all_features,0.9925,0.9903333333333333,0.6133333333333333,0.359,0.377,0.44466666666666665,-0.34104761904761877,0.3115
0.9,4,logistic_regression,stable_only,0.919,0.916,0.9157333333333334,0.9096666666666666,0.0002666666666666373,0.913,-0.003031746031745811,0.0
0.9,4,rbf_svm,stable_only,0.9195,0.9143333333333333,0.9148666666666667,0.9083333333333333,-0.0005333333333333856,0.9136666666666666,-0.0019841269841268314,0.0
0.9,4,random_forest,stable_only,0.9155,0.9073333333333333,0.9090000000000001,0.9043333333333333,-0.0016666666666668162,0.9071666666666667,-0.001825396825396588,0.0
0.9,4,gradient_boosting,stable_only,0.9105,0.9073333333333333,0.9036666666666665,0.8986666666666666,0.003666666666666818,0.9019999999999999,-0.004222222222221859,0.0
0.9,4,mlp,stable_only,0.92,0.9163333333333333,0.915,0.909,0.0013333333333332975,0.911,-0.0039682539682537364,0.0
