rho_train,rho_val,seed,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_log_loss,permuted_validation_accuracy,spurious_reliance_score
0.7,0.7,0,logistic_regression,all_features,0.9525,0.9524976895471513,0.11014631467317322,0.8405,0.11199999999999999
0.7,0.7,0,rbf_svm,all_features,0.9525,0.9525537005253029,0.11570197032979075,0.828,0.12450000000000006
0.7,0.7,0,random_forest,all_features,0.9475,0.9475387175886474,0.14273440738478244,0.792,0.15549999999999997
0.7,0.7,0,gradient_boosting,all_features,0.94,0.940030245928202,0.15465433950666863,0.7995,0.14049999999999996
0.7,0.7,0,mlp,all_features,0.9525,0.9525957087589167,0.1349325234687511,0.797,0.15549999999999997
0.7,0.7,0,logistic_regression,stable_only,0.908,0.9079259534868834,0.20472319392699642,0.908,0.0
0.7,0.7,0,rbf_svm,stable_only,0.906,0.9059815723881881,0.21231886229496916,0.906,0.0
0.7,0.7,0,random_forest,stable_only,0.8955,0.8954305043788583,0.24031158640477981,0.8955,0.0
0.7,0.7,0,gradient_boosting,stable_only,0.888,0.8879920464411024,0.25697488311244887,0.888,0.0
0.7,0.7,0,mlp,stable_only,0.9085,0.9084890638565158,0.24607123293910432,0.9085,0.0
0.7,0.7,1,logistic_regression,all_features,0.9495,0.9493911130004251,0.11746889967680105,0.81,0.13949999999999996
0.7,0.7,1,rbf_svm,all_features,0.946,0.945882823635318,0.1302771559530096,0.803,0.1429999999999999
0.7,0.7,1,random_forest,all_features,0.943,0.942942161986447,0.14824760334501522,0.781,0.16199999999999992
0.7,0.7,1,gradient_boosting,all_features,0.943,0.942942161986447,0.15031296099232708,0.7965,0.14649999999999996
0.7,0.7,1,mlp,all_features,0.9495,0.9493911130004251,0.12331567066088878,0.8,0.14949999999999997
0.7,0.7,1,logistic_regression,stable_only,0.8985,0.8984396489210071,0.216905282635173,0.8985,0.0
0.7,0.7,1,rbf_svm,stable_only,0.894,0.893856117626466,0.2296412883601211,0.894,0.0
0.7,0.7,1,random_forest,stable_only,0.8915,0.8914380735665525,0.2493638054690382,0.8915,0.0
0.7,0.7,1,gradient_boosting,stable_only,0.8875,0.8874071666124879,0.2676411993743716,0.8875,0.0
0.7,0.7,1,mlp,stable_only,0.899,0.8990072766372434,0.21937562130340799,0.899,0.0
0.7,0.7,2,logistic_regression,all_features,0.953,0.9530809051056601,0.11400185905738369,0.8335,0.11949999999999994
0.7,0.7,2,rbf_svm,all_features,0.9515,0.9516948957414625,0.12663560791610043,0.8205,0.131
0.7,0.7,2,random_forest,all_features,0.947,0.947206507887089,0.14523747014807714,0.7775,0.16949999999999998
0.7,0.7,2,gradient_boosting,all_features,0.9425,0.9427511560088937,0.1637645680055617,0.7965,0.14600000000000002
0.7,0.7,2,mlp,all_features,0.9525,0.9525308060477861,0.11607446819972986,0.828,0.12450000000000006
0.7,0.7,2,logistic_regression,stable_only,0.9075,0.9078451433611203,0.2094235599005224,0.9075,0.0
0.7,0.7,2,rbf_svm,stable_only,0.9085,0.9088792695245123,0.219461061060029,0.9085,0.0
0.7,0.7,2,random_forest,stable_only,0.8965,0.8968661872779458,0.23854668108684055,0.8965,0.0
0.7,0.7,2,gradient_boosting,stable_only,0.894,0.8943139078456439,0.27272559379369377,0.894,0.0
0.7,0.7,2,mlp,stable_only,0.905,0.9049955401432159,0.2110362638473727,0.905,0.0
0.7,0.7,3,logistic_regression,all_features,0.9595,0.959494837979352,0.10406498443303437,0.841,0.11850000000000005
0.7,0.7,3,rbf_svm,all_features,0.9565,0.9564948259793039,0.11256606808996146,0.8245,0.132
0.7,0.7,3,random_forest,all_features,0.9565,0.9565048260193041,0.13351154620050323,0.8065,0.15000000000000002
0.7,0.7,3,gradient_boosting,all_features,0.9485,0.948496793987176,0.13721510834844172,0.8095,0.139
0.7,0.7,3,mlp,all_features,0.9565,0.9564948259793039,0.11858258194507167,0.8175,0.139
0.7,0.7,3,logistic_regression,stable_only,0.9095,0.9094746378985517,0.19465984693500069,0.9095,0.0
0.7,0.7,3,rbf_svm,stable_only,0.9095,0.9094626378505514,0.20682945233949654,0.9095,0.0
0.7,0.7,3,random_forest,stable_only,0.91,0.9099736398945595,0.22437842618017942,0.91,0.0
0.7,0.7,3,gradient_boosting,stable_only,0.906,0.9059816239264957,0.24490658625608097,0.906,0.0
0.7,0.7,3,mlp,stable_only,0.906,0.9059616238464954,0.19769808115258727,0.906,0.0
0.7,0.7,4,logistic_regression,all_features,0.9605,0.9603743476646067,0.10197325085059704,0.837,0.12350000000000005
0.7,0.7,4,rbf_svm,all_features,0.9585,0.958405203266357,0.1116233010520815,0.839,0.11950000000000005
0.7,0.7,4,random_forest,all_features,0.95,0.949846382710772,0.13444110551606955,0.7845,0.16549999999999998
0.7,0.7,4,gradient_boosting,all_features,0.9525,0.9523656261668958,0.13188629789213652,0.8005,0.15200000000000002
0.7,0.7,4,mlp,all_features,0.96,0.9598903205590888,0.10486011871036936,0.8445,0.11549999999999994
0.7,0.7,4,logistic_regression,stable_only,0.919,0.9188125869071418,0.178242513796391,0.919,0.0
0.7,0.7,4,rbf_svm,stable_only,0.9195,0.9193957219411939,0.1848343571031075,0.9195,0.0
0.7,0.7,4,random_forest,stable_only,0.9155,0.9153583252161603,0.20948716739635975,0.9155,0.0
0.7,0.7,4,gradient_boosting,stable_only,0.9105,0.9102537663515569,0.20767132268822083,0.9105,0.0
0.7,0.7,4,mlp,stable_only,0.92,0.9197476051419997,0.20592093252632065,0.92,0.0
0.9,0.9,0,logistic_regression,all_features,0.995,0.9950130225524203,0.017440625722614934,0.602,0.393
0.9,0.9,0,rbf_svm,all_features,0.9955,0.995506119199363,0.01308640372530762,0.6325,0.3630000000000001
0.9,0.9,0,random_forest,all_features,0.9925,0.9925055310840925,0.02487349614251339,0.5195,0.4730000000000001
0.9,0.9,0,gradient_boosting,all_features,0.9925,0.9925335365731683,0.022483252437187556,0.539,0.4535
0.9,0.9,0,mlp,all_features,0.9925,0.9925475393177062,0.12217831691151801,0.706,0.2865000000000001
0.9,0.9,0,logistic_regression,stable_only,0.908,0.9079259534868834,0.20472319392699642,0.908,0.0
0.9,0.9,0,rbf_svm,stable_only,0.906,0.9059815723881881,0.21231886229496916,0.906,0.0
0.9,0.9,0,random_forest,stable_only,0.8955,0.8954305043788583,0.2403115864047798,0.8955,0.0
0.9,0.9,0,gradient_boosting,stable_only,0.888,0.8879920464411024,0.25697488311244887,0.888,0.0
0.9,0.9,0,mlp,stable_only,0.9085,0.9084890638565158,0.24607123293910432,0.9085,0.0
0.9,0.9,1,logistic_regression,all_features,0.995,0.9950138781225777,0.01874443549925561,0.618,0.377
0.9,0.9,1,rbf_svm,all_features,0.995,0.994998874746818,0.01496369667899996,0.6195,0.37549999999999994
0.9,0.9,1,random_forest,all_features,0.9875,0.9874596784276461,0.030470757459264343,0.535,0.4525
0.9,0.9,1,gradient_boosting,all_features,0.9895,0.9894751319046786,0.037106744980135775,0.538,0.4515
0.9,0.9,1,mlp,all_features,0.9945,0.9945062639093796,0.026439877622464164,0.6485,0.3460000000000001
0.9,0.9,1,logistic_regression,stable_only,0.8985,0.8984396489210071,0.216905282635173,0.8985,0.0
0.9,0.9,1,rbf_svm,stable_only,0.894,0.893856117626466,0.2296412883601211,0.894,0.0
0.9,0.9,1,random_forest,stable_only,0.8915,0.8914380735665525,0.2493638054690382,0.8915,0.0
0.9,0.9,1,gradient_boosting,stable_only,0.8875,0.8874071666124879,0.2676411993743716,0.8875,0.0
0.9,0.9,1,mlp,stable_only,0.899,0.8990072766372434,0.21937562130340799,0.899,0.0
0.9,0.9,2,logistic_regression,all_features,0.9935,0.9935424677473769,0.018695216589942533,0.639,0.35450000000000004
0.9,0.9,2,rbf_svm,all_features,0.9935,0.9935094317711988,0.01953162991579706,0.618,0.37550000000000006
0.9,0.9,2,random_forest,all_features,0.992,0.991991278502289,0.027714696869754342,0.517,0.475
0.9,0.9,2,gradient_boosting,all_features,0.9895,0.9895711429746994,0.03920103669301488,0.544,0.4455
0.9,0.9,2,mlp,all_features,0.989,0.9890871158691815,0.12104816074825374,0.6645,0.3245
0.9,0.9,2,logistic_regression,stable_only,0.9075,0.9078451433611203,0.2094235599005224,0.9075,0.0
0.9,0.9,2,rbf_svm,stable_only,0.9085,0.9088792695245123,0.219461061060029,0.9085,0.0
0.9,0.9,2,random_forest,stable_only,0.8965,0.8968661872779458,0.23854668108684052,0.8965,0.0
0.9,0.9,2,gradient_boosting,stable_only,0.894,0.8943139078456439,0.27272559379369377,0.894,0.0
0.9,0.9,2,mlp,stable_only,0.905,0.9049955401432159,0.2110362638473727,0.905,0.0
0.9,0.9,3,logistic_regression,all_features,0.9935,0.993504974019896,0.017808830510848767,0.6225,0.371
0.9,0.9,3,rbf_svm,all_features,0.993,0.9930039720158881,0.0187468473111023,0.6495,0.3435
0.9,0.9,3,random_forest,all_features,0.988,0.988003952015808,0.02987114021893433,0.5345,0.4535
0.9,0.9,3,gradient_boosting,all_features,0.992,0.9920039680158721,0.034374818951071494,0.534,0.45799999999999996
0.9,0.9,3,mlp,all_features,0.9905,0.9905149620598482,0.31177189331704713,0.64,0.35050000000000003
0.9,0.9,3,logistic_regression,stable_only,0.9095,0.9094746378985517,0.19465984693500069,0.9095,0.0
0.9,0.9,3,rbf_svm,stable_only,0.9095,0.9094626378505514,0.20682945233949654,0.9095,0.0
0.9,0.9,3,random_forest,stable_only,0.91,0.9099736398945595,0.22437842618017945,0.91,0.0
