rho_train,model,feature_condition,validation_accuracy_mean,iid_accuracy_mean,average_ood_accuracy_mean,worst_environment_accuracy_mean,ood_gap_mean,severe_shift_accuracy_mean,degradation_slope_mean,spurious_reliance_score_mean,validation_accuracy_se,iid_accuracy_se,average_ood_accuracy_se,worst_environment_accuracy_se,ood_gap_se,severe_shift_accuracy_se,degradation_slope_se,spurious_reliance_score_se,n_seeds
0.5,logistic_regression,all_features,0.9316000000000001,0.9294,0.8636666666666667,0.8139333333333333,0.06573333333333334,0.8257,-0.0846573643410851,0.046700000000000005,0.0037027017163147324,0.002984031575644659,0.0017050252523382618,0.005207259889380926,0.004212732024602453,0.003144395366715565,0.003901969690540589,0.0018748333259252417,5
0.5,rbf_svm,all_features,0.9292,0.9278000000000001,0.8514933333333333,0.7952666666666667,0.07630666666666668,0.8086666666666666,-0.09637054263565871,0.055400000000000005,0.003803288051147304,0.002739829678404607,0.002313880818980181,0.006073073539997868,0.004429978680661009,0.004079760341545137,0.004320859165588585,0.0031874754901018575,5
0.5,random_forest,all_features,0.9243,0.9206,0.8446,0.7811333333333333,0.07600000000000004,0.7991666666666666,-0.10007906976744167,0.053000000000000005,0.003970516339218399,0.002868216635239857,0.0023248416911456037,0.005980152357776697,0.004305087429748392,0.003094349689353173,0.00439113068858527,0.0019170289512680904,5
0.5,gradient_boosting,all_features,0.9213000000000001,0.9212666666666667,0.8496133333333333,0.7986666666666666,0.0716533333333333,0.8111,-0.0885271317829456,0.052100000000000014,0.0030927334188384607,0.0030136725472788553,0.001768162888424039,0.006284902544988272,0.004294875499424367,0.0036084776722478417,0.004713490656723881,0.0011224972160321903,5
0.5,mlp,all_features,0.9316000000000001,0.9279999999999999,0.85076,0.7926,0.07723999999999995,0.8062333333333334,-0.09859069767441839,0.05510000000000002,0.003579106033634668,0.003226625344088021,0.007748823566623966,0.01387379624407904,0.007324831435299755,0.013342975680109746,0.009521459132053508,0.0052473802987776695,5
0.5,logistic_regression,stable_only,0.9085000000000001,0.9107333333333333,0.9122933333333334,0.9056666666666666,-0.0015600000000000058,0.9140666666666666,0.0022046511627908296,0.0,0.00325960120260134,0.0025064361596143494,0.0008795453370918685,0.0010697871023920514,0.00323230911613083,0.0005492419017761167,0.0012929540070315756,0.0,5
0.5,rbf_svm,stable_only,0.9075,0.9097333333333333,0.9113199999999999,0.9052,-0.0015866666666666251,0.9136,0.0025100775193799135,0.0,0.004083503397819056,0.0026633312473917535,0.0009107750057567312,0.0008069145624607031,0.0032352502908499286,0.0008573214099741132,0.0023092962104157393,0.0,5
0.5,random_forest,stable_only,0.9018,0.9049333333333334,0.9047333333333334,0.8962666666666668,0.00019999999999997797,0.9068999999999999,0.0010790697674419813,0.0,0.004630334761116112,0.002441311123146741,0.001103731046144083,0.000627162924074218,0.003463203398268415,0.0009407443861113198,0.0017735620949538955,0.0,5
0.5,gradient_boosting,stable_only,0.8972,0.9012,0.8999066666666666,0.8929333333333334,0.001293333333333413,0.9011333333333333,-5.7364341085008485e-05,0.0,0.004707971962533339,0.001721110752456745,0.0010324942830081008,0.0013800161029656176,0.0025671081871328216,0.0007176350047203738,0.0012621540597806127,0.0,5
0.5,mlp,stable_only,0.9077,0.9099333333333334,0.9108933333333333,0.9050666666666667,-0.0009600000000000053,0.9119333333333334,0.0012000000000002117,0.0,0.0034481879299133344,0.0020800641015763515,0.001093942919494031,0.0009092121131323834,0.0026145405374983846,0.0010227957328377447,0.0016597465856093316,0.0,5
0.7,logistic_regression,all_features,0.9550000000000001,0.9525333333333335,0.7894133333333333,0.6801999999999999,0.16312,0.7110666666666667,-0.16859615384615342,0.1226,0.002133072900770172,0.0019539134519670526,0.0018500930907509568,0.002841361176150139,0.0026296936872740673,0.0037101961613310334,0.0030714347419562565,0.004610856753359396,5
0.7,rbf_svm,all_features,0.953,0.9522666666666666,0.7722133333333334,0.6517999999999999,0.1800533333333333,0.6853666666666667,-0.1865217948717945,0.13,0.002167948338867902,0.0020176994600562023,0.0020222539680048034,0.0026195843605851168,0.0016275953633095414,0.001688523352255182,0.00173509146914844,0.003965476011779645,5
0.7,random_forest,all_features,0.9488,0.9444666666666667,0.7248266666666667,0.5616,0.21963999999999997,0.6152333333333333,-0.2316307692307688,0.16049999999999998,0.0022282279955157234,0.0016983652270475998,0.003707086307181006,0.007785599241905249,0.0028503099246690255,0.005586342472693762,0.004768277148250162,0.003489269264473574,5
0.7,gradient_boosting,all_features,0.9452999999999999,0.9428666666666666,0.7530933333333334,0.6227333333333334,0.1897733333333333,0.6609666666666667,-0.19796794871794826,0.14479999999999998,0.002272663635472703,0.0014087031072743637,0.0013076866767098403,0.004087107099703226,0.001379790644345088,0.003110644806324092,0.0027355787068324804,0.0023270152556440255,5
0.7,mlp,all_features,0.9541999999999999,0.9510666666666667,0.7612266666666667,0.6304000000000001,0.18984000000000006,0.6677333333333333,-0.198034615384615,0.13679999999999998,0.0018275666882497114,0.001768238294649982,0.009758815957322342,0.01613188698750948,0.009241322656657142,0.014884518429861576,0.009202631750256835,0.007485986908885157,5
0.7,logistic_regression,stable_only,0.9085000000000001,0.9109333333333334,0.9122933333333334,0.907,-0.0013600000000000057,0.9140666666666666,0.0018769230769234222,0.0,0.00325960120260134,0.002591438896743568,0.0008795453370918685,0.001233783701554778,0.001813970476300193,0.0005492419017761167,0.0019729134318562597,0.0,5
0.7,rbf_svm,stable_only,0.9075,0.9099999999999999,0.9113199999999999,0.905,-0.0013199999999999878,0.9136,0.0021000000000003433,0.0,0.004083503397819056,0.0024675674031095635,0.0009107750057567312,0.0010274023338281684,0.0017507331797468894,0.0008573214099741132,0.0017848605877082647,0.0,5
0.7,random_forest,stable_only,0.9018,0.9008666666666667,0.9047333333333334,0.8965333333333334,-0.003866666666666707,0.9068999999999999,0.002828205128205431,0.0,0.004630334761116112,0.002794041278626128,0.001103731046144083,0.0015656024754423072,0.0029208826672010462,0.0009407443861113198,0.0018102766124390944,0.0,5
0.7,gradient_boosting,stable_only,0.8972,0.8974,0.8999066666666666,0.8931333333333333,-0.002506666666666568,0.9011333333333333,0.0016551282051284085,0.0,0.004707971962533339,0.0025742312768410555,0.0010324942830081008,0.0015549205052920693,0.0023429895432972143,0.0007176350047203738,0.0015443349423622447,0.0,5
0.7,mlp,stable_only,0.9077,0.9101333333333332,0.9108933333333333,0.905,-0.0007599999999999829,0.9119333333333334,0.0009884615384618048,0.0,0.0034481879299133344,0.0029881246441353236,0.001093942919494031,0.0011155467020454656,0.002150617482388582,0.0010227957328377447,0.0022049636566513534,0.0,5
0.9,logistic_regression,all_features,0.9941000000000001,0.9921333333333333,0.5522533333333334,0.2593333333333333,0.43987999999999994,0.3607,-0.39071428571428546,0.37360000000000004,0.0003674234614174786,0.0011135528725660052,0.004579539035511974,0.008489863236694562,0.00499401419479138,0.007669456014317807,0.004942697594554211,0.006167252224451336,5
0.9,rbf_svm,all_features,0.9939,0.9924666666666667,0.5604666666666667,0.2744666666666667,0.43200000000000005,0.37316666666666665,-0.3829047619047617,0.36340000000000006,0.0005787918451395208,0.001231981240838431,0.0031147676924255106,0.006090612083818474,0.0043029189059417775,0.005320557614887128,0.004346172618213876,0.005933801479658707,5
0.9,random_forest,all_features,0.99,0.9895333333333334,0.41288,0.0608,0.5766533333333334,0.18136666666666668,-0.4913396825396822,0.4678,0.0010124228365658234,0.001432170070596064,0.0029855503866307678,0.00390242090104193,0.0028018565273760965,0.00404124568254228,0.0030409674436266405,0.0063769114781373586,5
0.9,gradient_boosting,all_features,0.9909000000000001,0.9916,0.45222666666666667,0.10186666666666666,0.5393733333333334,0.22436666666666666,-0.470349206349206,0.45120000000000005,0.0006204836822995453,0.001279756921363501,0.001206574582121724,0.0022548712700383696,0.0009137468650196983,0.002530590620564474,0.002453189880455476,0.0022113344387495906,5
0.9,mlp,all_features,0.9918000000000001,0.9904,0.5994133333333334,0.3433333333333334,0.3909866666666667,0.4291333333333333,-0.3469079365079363,0.32380000000000003,0.0009433981132056633,0.0012174654911833128,0.014711679411648125,0.025770568915377517,0.013710359424739952,0.020576645337210188,0.012001635900922531,0.011723480711802275,5
0.9,logistic_regression,stable_only,0.9085000000000001,0.9093333333333333,0.9122933333333334,0.9050666666666667,-0.002960000000000007,0.9140666666666666,0.002419047619047821,0.0,0.00325960120260134,0.0038137179293236275,0.0008795453370918685,0.0026820390253188622,0.003525815902422849,0.0005492419017761167,0.002418365316433575,0.0,5
0.9,rbf_svm,stable_only,0.9075,0.9080666666666666,0.9113199999999999,0.9035333333333334,-0.003253333333333308,0.9136,0.002758730158730399,0.0,0.004083503397819056,0.004393682333128375,0.0009107750057567312,0.0030269162892657326,0.004207686088840522,0.0008573214099741132,0.002770763934195322,0.0,5
0.9,random_forest,stable_only,0.9018,0.9012666666666667,0.9047333333333334,0.8956666666666667,-0.003466666666666707,0.9068999999999999,0.0024507936507938448,0.0,0.004630334761116112,0.004622889909040779,0.001103731046144083,0.0027668674625929497,0.004273224127569757,0.0009407443861113198,0.0026451303441733937,0.0,5
0.9,gradient_boosting,stable_only,0.8972,0.8977333333333334,0.8999066666666666,0.8919333333333335,-0.0021733333333332273,0.9011333333333333,0.001406349206349439,0.0,0.004707971962533339,0.0044763576463211305,0.0010324942830081008,0.0020011108026404714,0.0037633672865312177,0.0007176350047203738,0.0023979425547420064,0.0,5
0.9,mlp,stable_only,0.9077,0.9082000000000001,0.9108933333333333,0.9036,-0.0026933333333333032,0.9119333333333334,0.001796825396825541,0.0,0.0034481879299133344,0.004462933763543636,0.001093942919494031,0.0028682166352398592,0.004207326942370895,0.0010227957328377447,0.0028123176853649397,0.0,5
