rho_train,replicate,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_brier_score,validation_log_loss,iid_accuracy,iid_balanced_accuracy,iid_roc_auc,iid_brier_score,iid_log_loss,average_ood_accuracy,worst_ood_accuracy,ood_gap,n_ood_environments
0.0,0,gradient_boosting,all_features,0.8965,0.896547982305859,0.9695623170403619,0.07422436066650684,0.24358162592173624,0.908,0.907898949795082,0.9721835332707195,0.06865691001417117,0.22450856848598985,0.8965000000000001,0.8926666666666667,0.011499999999999955,4
0.0,0,gradient_boosting,stable_only,0.8975,0.8975591046516629,0.9686782100634177,0.07411917776499125,0.24181965341183542,0.908,0.9078028944672132,0.9719551795167349,0.06931079064338379,0.22431594804231486,0.9004166666666668,0.8946666666666667,0.007583333333333275,4
0.0,0,logistic_regression,all_features,0.91,0.9099891086821505,0.9758420768913039,0.0627503339137699,0.19819368405458143,0.9186666666666666,0.918667819330601,0.9788037909836067,0.0581370881199068,0.18728779993928327,0.9105833333333333,0.905,0.008083333333333331,4
0.0,0,logistic_regression,stable_only,0.9105,0.9104836685238914,0.9758490777384063,0.06272158751927075,0.1981569536925097,0.9183333333333333,0.9183262892759563,0.9787820006545992,0.05816497968916513,0.18732683347998574,0.9105833333333333,0.9046666666666666,0.007750000000000035,4
0.0,0,mlp,all_features,0.905,0.9048564876350038,0.9749299665259497,0.06406005880328364,0.2035431899162825,0.9186666666666666,0.9184276810109289,0.978240355333561,0.0586516521800321,0.19012148446485116,0.9084166666666667,0.9,0.010249999999999981,4
0.0,0,mlp,stable_only,0.9045,0.9046369610722897,0.9742078791533775,0.08673424571228125,0.3078876442095699,0.9173333333333333,0.9174297728825137,0.9777467376764571,0.08536350657209886,0.30640203171072494,0.9075833333333333,0.904,0.009750000000000036,4
0.0,0,random_forest,all_features,0.9045,0.9045489504230011,0.9694758065725954,0.06947646752359057,0.22846707475237005,0.911,0.9108926741803278,0.9724659181466302,0.06590962844019031,0.22043582519570964,0.9018333333333333,0.8966666666666666,0.009166666666666767,4
0.0,0,random_forest,stable_only,0.9075,0.9075603147980905,0.9699478636915067,0.06857020161681406,0.2254560022683147,0.9073333333333333,0.9072959357923497,0.9722844803051002,0.06625978540521724,0.21910304502350145,0.9044166666666666,0.8963333333333333,0.0029166666666666785,4
0.0,0,rbf_svm,all_features,0.9075,0.9075273108046074,0.9727737056183798,0.06567690127729264,0.2127188295121428,0.9166666666666666,0.9166826758879781,0.9754663130407558,0.06170803619750124,0.2011172610254204,0.9070833333333334,0.902,0.009583333333333277,4
0.0,0,rbf_svm,stable_only,0.906,0.9059996259547405,0.9730807427698752,0.06587767224728751,0.21298902059789665,0.9166666666666666,0.9165546021174864,0.9766927972734516,0.05971049450471649,0.19673463960981188,0.9093333333333333,0.903,0.007333333333333303,4
0.0,1,gradient_boosting,all_features,0.9065,0.9062223451604594,0.9729893334375634,0.0684975739126959,0.22365334117862518,0.8993333333333333,0.8992762581465967,0.9692904253678165,0.07223925508470508,0.2369029740661129,0.90375,0.8906666666666667,-0.004416666666666735,4
0.0,1,gradient_boosting,stable_only,0.909,0.9086101197545378,0.973159709798946,0.06730440632687826,0.21962397553042762,0.8996666666666666,0.8996143244075838,0.9693077620991492,0.07171267495053457,0.2356194115802462,0.8995833333333332,0.889,8.333333333343518e-05,4
0.0,1,logistic_regression,all_features,0.9175,0.9173409060614899,0.9784784589157449,0.05811528684337475,0.18767546298855275,0.911,0.9109312091836668,0.9759735130307763,0.06264030542173855,0.19829883051454225,0.9135833333333333,0.9023333333333333,-0.002583333333333271,4
0.0,1,logistic_regression,stable_only,0.9175,0.9172938020086371,0.978474450060183,0.05808523044759576,0.18774610336092318,0.9096666666666666,0.909606949628794,0.9758814949952412,0.06275873051488377,0.19862414915931553,0.9130833333333332,0.9043333333333333,-0.0034166666666666234,4
0.0,1,mlp,all_features,0.9145,0.9142400562843321,0.9760430791618685,0.0676576511821036,0.23464631602339148,0.9043333333333333,0.90421655977905,0.9732480899589653,0.07161498368472109,0.24440727993027617,0.9079166666666666,0.896,-0.0035833333333332718,4
0.0,1,mlp,stable_only,0.919,0.9191032991879061,0.9782058567375332,0.05879680038031845,0.19028354774421083,0.907,0.9070891228014024,0.9757201300343757,0.0631638486339919,0.1997564523076594,0.9131666666666667,0.9046666666666666,-0.006166666666666654,4
0.0,1,random_forest,all_features,0.908,0.9075136977583482,0.9722507018002768,0.0659698501115825,0.21902422825262233,0.8976666666666666,0.8975859268416609,0.9695607005639771,0.07002974022800125,0.23037900434264091,0.9050833333333334,0.894,-0.007416666666666738,4
0.0,1,random_forest,stable_only,0.9085,0.9082738769942804,0.9727247489704758,0.06546013364232565,0.21666601308398156,0.9033333333333333,0.9033237181154172,0.9704126453229278,0.0687138630308936,0.22600794247338846,0.9045,0.897,-0.0011666666666666492,4
0.0,1,rbf_svm,all_features,0.9175,0.9171053857972261,0.9745137007649899,0.062095616965470425,0.20446077990612777,0.907,0.9069304250299726,0.9731093961083038,0.06506953211764462,0.21044638009541997,0.9102499999999999,0.899,-0.003249999999999864,4
0.0,1,rbf_svm,stable_only,0.922,0.9216389003308307,0.9768919543271086,0.059695445664028006,0.19713267368115295,0.9093333333333333,0.909343564672009,0.9742491750605341,0.06426546243400139,0.20803345074625523,0.9111666666666667,0.903,-0.0018333333333333535,4
0.0,2,gradient_boosting,all_features,0.9035,0.9035826353816253,0.9642696739357675,0.0766401858171273,0.26188448694711475,0.9133333333333333,0.9133269570257014,0.9744226211957709,0.06433616323534926,0.21460174923892134,0.9034166666666666,0.8966666666666666,0.009916666666666685,4
0.0,2,gradient_boosting,stable_only,0.8965,0.8964785823102877,0.9623931316150368,0.07751013486919789,0.2720091062265367,0.9146666666666666,0.9146620705103476,0.9751777336493043,0.062418651588042585,0.21061219859389635,0.9039166666666667,0.8983333333333333,0.010749999999999926,4
0.0,2,logistic_regression,all_features,0.9025,0.9025483364692396,0.9690960687638728,0.06999466912758728,0.2253839899091251,0.9206666666666666,0.9206638589579714,0.9801506313789002,0.05531807091521036,0.18039599751069899,0.9106666666666666,0.9066666666666666,0.010000000000000009,4
0.0,2,logistic_regression,stable_only,0.9025,0.9025653413836598,0.9692091014303134,0.06987082073310925,0.22514691466240241,0.9213333333333333,0.9213287490288872,0.9801172979863076,0.055343998937175135,0.18048921465555456,0.9110833333333334,0.907,0.010249999999999981,4
0.0,2,mlp,all_features,0.9025,0.902514326640399,0.9685139005172495,0.07044949324082886,0.22903586881639826,0.9203333333333333,0.9203274139154025,0.9799239643092699,0.056559413229081486,0.18929689048498774,0.907,0.9013333333333333,0.013333333333333308,4
0.0,2,mlp,stable_only,0.897,0.897276312854415,0.9690280491061917,0.0708161280766071,0.22799277287213027,0.9206666666666666,0.9206505256009344,0.9799288532068502,0.05548540571863643,0.18185675959729883,0.9101666666666667,0.906,0.010499999999999954,4
0.0,2,random_forest,all_features,0.8965,0.8965295970535485,0.9624966615351837,0.07598261114458428,0.25018111155814676,0.9136666666666666,0.9136642909587396,0.9743683988771537,0.06305575430953331,0.21321814354620525,0.9015833333333333,0.893,0.012083333333333335,4
