rho_train,replicate,model,feature_condition,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_brier_score,validation_log_loss,iid_accuracy,iid_balanced_accuracy,iid_roc_auc,iid_brier_score,iid_log_loss,average_ood_accuracy,worst_ood_accuracy,ood_gap,n_ood_environments,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.0,0,gradient_boosting,all_features,0.8965,0.896547982305859,0.9695623170403619,0.07422436066650684,0.24358162592173624,0.908,0.907898949795082,0.9721835332707195,0.06865691001417117,0.22450856848598985,0.8965000000000001,0.8926666666666667,0.011499999999999955,4,0.0215,0.01978837246352649,0.0005353198585589247,0.0215,0.024807832637964915,0.0003001166577384362,0.0,-0.005019460174438425,0.8965,0.8975,-0.0010000000000000009,-0.009756097560975615
0.0,0,logistic_regression,all_features,0.91,0.9099891086821505,0.9758420768913039,0.0627503339137699,0.19819368405458143,0.9186666666666666,0.918667819330601,0.9788037909836067,0.0581370881199068,0.18728779993928327,0.9105833333333333,0.905,0.008083333333333331,4,0.0005,0.0006458545549531051,0.0005353198585589247,0.0005,0.0003217944369849917,0.0003001166577384362,0.0,0.00032406011796811345,0.91,0.9105,-0.0004999999999999449,-0.005586592178770333
0.0,0,mlp,all_features,0.905,0.9048564876350038,0.9749299665259497,0.06406005880328364,0.2035431899162825,0.9186666666666666,0.9184276810109289,0.978240355333561,0.0586516521800321,0.19012148446485116,0.9084166666666667,0.9,0.010249999999999981,4,0.0035,0.006785719818818645,0.0005353198585589247,0.0125,0.010353187757244564,0.0003001166577384362,-0.009000000000000001,-0.003567467938425919,0.905,0.9045,0.000500000000000056,0.005235602094241422
0.0,0,random_forest,all_features,0.9045,0.9045489504230011,0.9694758065725954,0.06947646752359057,0.22846707475237005,0.911,0.9108926741803278,0.9724659181466302,0.06590962844019031,0.22043582519570964,0.9018333333333333,0.8966666666666666,0.009166666666666767,4,0.0105,0.015185787301587305,0.0005353198585589247,0.011,0.01860091507936508,0.0003001166577384362,-0.0004999999999999987,-0.003415127777777775,0.9045,0.9075,-0.0030000000000000027,-0.032432432432432455
0.0,0,rbf_svm,all_features,0.9075,0.9075273108046074,0.9727737056183798,0.06567690127729264,0.2127188295121428,0.9166666666666666,0.9166826758879781,0.9754663130407558,0.06170803619750124,0.2011172610254204,0.9070833333333334,0.902,0.009583333333333277,4,0.0145,0.014910005289839006,0.0005353198585589247,0.0155,0.019580386872046038,0.0003001166577384362,-0.0009999999999999992,-0.004670381582207032,0.9075,0.906,0.0014999999999999458,0.015957446808510068
0.0,1,gradient_boosting,all_features,0.9065,0.9062223451604594,0.9729893334375634,0.0684975739126959,0.22365334117862518,0.8993333333333333,0.8992762581465967,0.9692904253678165,0.07223925508470508,0.2369029740661129,0.90375,0.8906666666666667,-0.004416666666666735,4,0.0235,0.0234759334457792,0.00012017737685254826,0.019,0.021243694618564738,0.00014568650008595085,0.0045000000000000005,0.002232238827214461,0.9065,0.909,-0.0025000000000000577,-0.027472527472528117
0.0,1,logistic_regression,all_features,0.9175,0.9173409060614899,0.9784784589157449,0.05811528684337475,0.18767546298855275,0.911,0.9109312091836668,0.9759735130307763,0.06264030542173855,0.19829883051454225,0.9135833333333333,0.9023333333333333,-0.002583333333333271,4,0.002,0.0022581984377725863,0.00012017737685254826,0.001,0.0025902781488989063,0.00014568650008595085,0.001,-0.00033207971112632004,0.9175,0.9175,0.0,0.0
0.0,1,mlp,all_features,0.9145,0.9142400562843321,0.9760430791618685,0.0676576511821036,0.23464631602339148,0.9043333333333333,0.90421655977905,0.9732480899589653,0.07161498368472109,0.24440727993027617,0.9079166666666666,0.896,-0.0035833333333332718,4,0.017,0.0173082417633355,0.00012017737685254826,0.02,0.01868313796252005,0.00014568650008595085,-0.002999999999999999,-0.0013748961991845478,0.9145,0.919,-0.0045000000000000595,-0.055555555555556316
0.0,1,random_forest,all_features,0.908,0.9075136977583482,0.9722507018002768,0.0659698501115825,0.21902422825262233,0.8976666666666666,0.8975859268416609,0.9695607005639771,0.07002974022800125,0.23037900434264091,0.9050833333333334,0.894,-0.007416666666666738,4,0.012,0.01740735894660895,0.00012017737685254826,0.011,0.01761447792207792,0.00014568650008595085,0.0010000000000000009,-0.00020711897546897215,0.908,0.9085,-0.0004999999999999449,-0.005464480874316336
0.0,1,rbf_svm,all_features,0.9175,0.9171053857972261,0.9745137007649899,0.062095616965470425,0.20446077990612777,0.907,0.9069304250299726,0.9731093961083038,0.06506953211764462,0.21044638009541997,0.9102499999999999,0.899,-0.003249999999999864,4,0.009,0.014422604252238184,0.00012017737685254826,0.0175,0.019141376711924115,0.00014568650008595085,-0.008500000000000002,-0.004718772459685931,0.9175,0.922,-0.0045000000000000595,-0.05769230769230849
