rho_train,model,rho_environment,metric,mean,ci_lower,ci_upper,n_replicates
0.0,gradient_boosting,-0.9,accuracy,0.9018666666666666,0.8995333333333335,0.9044333333333331,10
0.0,gradient_boosting,-0.6,accuracy,0.8988666666666667,0.8954333333333333,0.9017333333333333,10
0.0,gradient_boosting,-0.3,accuracy,0.8995,0.8955666666666666,0.9033333333333333,10
0.0,gradient_boosting,0.0,accuracy,0.9012,0.8970666666666667,0.9056666666666668,10
0.0,gradient_boosting,0.3,accuracy,0.8994333333333332,0.8960000000000001,0.9026666666666665,10
0.0,logistic_regression,-0.9,accuracy,0.9126666666666665,0.9101666666666667,0.9154666666666668,10
0.0,logistic_regression,-0.6,accuracy,0.9111333333333332,0.9072666666666667,0.9149999999999998,10
0.0,logistic_regression,-0.3,accuracy,0.9103999999999999,0.9068000000000002,0.9132333333333331,10
0.0,logistic_regression,0.0,accuracy,0.9141666666666668,0.9106666666666667,0.9174666666666667,10
0.0,logistic_regression,0.3,accuracy,0.9094666666666666,0.9069333333333335,0.9119333333333334,10
0.0,mlp,-0.9,accuracy,0.9117666666666668,0.9086333333333334,0.9152008333333335,10
0.0,mlp,-0.6,accuracy,0.9094666666666666,0.9054,0.9133666666666667,10
0.0,mlp,-0.3,accuracy,0.9088666666666665,0.9048999999999999,0.9119333333333334,10
0.0,mlp,0.0,accuracy,0.9130666666666667,0.9095333333333333,0.9166000000000001,10
0.0,mlp,0.3,accuracy,0.9084333333333333,0.906,0.9109,10
0.0,random_forest,-0.9,accuracy,0.9052333333333336,0.9029999999999999,0.9076333333333334,10
0.0,random_forest,-0.6,accuracy,0.9020333333333334,0.8983333333333334,0.9052999999999999,10
0.0,random_forest,-0.3,accuracy,0.9017666666666665,0.8982666666666667,0.9052675000000002,10
0.0,random_forest,0.0,accuracy,0.9052666666666667,0.9016,0.9089333333333333,10
0.0,random_forest,0.3,accuracy,0.9021000000000001,0.8993,0.9049333333333331,10
0.0,rbf_svm,-0.9,accuracy,0.9116,0.9090999999999999,0.9143666666666667,10
0.0,rbf_svm,-0.6,accuracy,0.9102333333333334,0.9065333333333333,0.9138333333333334,10
0.0,rbf_svm,-0.3,accuracy,0.9093333333333333,0.9058999999999999,0.9120666666666667,10
0.0,rbf_svm,0.0,accuracy,0.9135,0.9101333333333332,0.9166666666666666,10
