excluded_family,n_points,n_clusters,pearson,pearson_ci_lower,pearson_ci_upper,spearman,spearman_ci_lower,spearman_ci_upper,d3_coefficient,d3_coefficient_ci_lower,d3_coefficient_ci_upper,partial_correlation,partial_correlation_ci_lower,partial_correlation_ci_upper,incremental_r2,incremental_r2_ci_lower,incremental_r2_ci_upper
logistic_regression,200,50,0.8654457556232907,0.8206938265701181,0.9055533415742457,0.9398984210031365,0.8951604832848017,0.9602913711684773,0.5496173847736772,0.1638520741750417,1.2010309681700402,0.13863523573998948,0.044248991941681894,0.2594647135204837,0.0018334983540186922,0.0001836479266170089,0.006965328753266256
rbf_svm,200,50,0.8609713828280409,0.8168838726466768,0.9028367055899504,0.9381802565192607,0.8926610637670026,0.9577094193017259,0.5550500137489139,0.17791307598311457,1.1910484751916066,0.1347484198529722,0.04572976934707135,0.2549607213985902,0.00184435373088232,0.00021613530727741248,0.006936266427373139
random_forest,200,50,0.8718900217863599,0.8281983709368738,0.9103034495311978,0.9334388959571779,0.884077781708004,0.9514745669765681,-0.02525908621292093,-0.4326072912876,0.5177751040315055,-0.007102490362335487,-0.11975548377832196,0.13500371549149826,3.6589094737360384e-06,3.1437697577407824e-07,0.0016284658285881531
gradient_boosting,200,50,0.8530459077118671,0.8058977303651146,0.8964607375222016,0.9281470248564044,0.8750506597544389,0.9498274671634942,0.5251207540189051,0.20132931258085832,1.1181285141621682,0.14102404610877434,0.056797405849519755,0.25651624005703666,0.0019530753205037055,0.00031301885641294444,0.007050054707979536
mlp,200,50,0.8655632632560171,0.8212257130200306,0.906269166419023,0.9395405186949031,0.8915788762558322,0.9570615300264731,0.1837548090672287,-0.20155272166216767,0.8126787462710342,0.04619054807714735,-0.05241196157129847,0.1845167251813123,0.00018019068996888432,7.238849129870276e-07,0.0029553854591308935
