rho_train,replicate,model,iid_accuracy_all,iid_accuracy_stable_only,raw_loco,loco_normalized
0.0,7,random_forest,0.9065,0.901,0.005499999999999949,0.05555555555555506
0.0,7,gradient_boosting,0.8985,0.8995,-0.0010000000000000009,-0.00995024875621891
0.0,7,mlp,0.911,0.9055,0.00550000000000006,0.05820105820105882
0.0,8,logistic_regression,0.911,0.9095,0.0015000000000000568,0.01657458563535974
0.0,8,rbf_svm,0.904,0.9055,-0.0014999999999999458,-0.015873015873015296
0.0,8,random_forest,0.902,0.905,-0.0030000000000000027,-0.03157894736842109
0.0,8,gradient_boosting,0.8955,0.9005,-0.0050000000000000044,-0.050251256281407065
0.0,8,mlp,0.9055,0.9085,-0.0030000000000000027,-0.03278688524590166
0.0,9,logistic_regression,0.918,0.919,-0.0010000000000000009,-0.012345679012345696
0.0,9,rbf_svm,0.9075,0.9155,-0.008000000000000007,-0.09467455621301782
0.0,9,random_forest,0.9095,0.909,0.0004999999999999449,0.005494505494504891
0.0,9,gradient_boosting,0.904,0.901,0.0030000000000000027,0.03030303030303034
0.0,9,mlp,0.9165,0.9145,0.0020000000000000018,0.023391812865497092
0.5,0,logistic_regression,0.927,0.9105,0.01650000000000007,0.18435754189944206
0.5,0,rbf_svm,0.925,0.906,0.019000000000000017,0.20212765957446832
0.5,0,random_forest,0.9205,0.9075,0.013000000000000012,0.14054054054054063
0.5,0,gradient_boosting,0.9225,0.8975,0.025000000000000022,0.24390243902439038
0.5,0,mlp,0.927,0.9045,0.022500000000000075,0.23560209424083842
0.5,1,logistic_regression,0.929,0.9175,0.011500000000000066,0.13939393939394015
0.5,1,rbf_svm,0.9285,0.922,0.00649999999999995,0.08333333333333275
0.5,1,random_forest,0.918,0.9085,0.009500000000000064,0.10382513661202253
0.5,1,gradient_boosting,0.9115,0.909,0.0024999999999999467,0.027472527472526896
0.5,1,mlp,0.921,0.919,0.0020000000000000018,0.02469135802469139
0.5,2,logistic_regression,0.9245,0.9025,0.02200000000000002,0.22564102564102578
0.5,2,rbf_svm,0.923,0.898,0.025000000000000022,0.24509803921568654
0.5,2,random_forest,0.9125,0.8975,0.015000000000000013,0.14634146341463422
0.5,2,gradient_boosting,0.9185,0.8965,0.02200000000000002,0.21256038647343006
0.5,2,mlp,0.9115,0.897,0.014499999999999957,0.14077669902912582
0.5,3,logistic_regression,0.9295,0.9085,0.02100000000000002,0.22950819672131162
0.5,3,rbf_svm,0.9255,0.9055,0.020000000000000018,0.21164021164021177
