rho_train,replicate,model,d2_original_accuracy,d2_conditional_permuted_accuracy,d2_conditional_permutation_drop,d4_n_consistent,d4_n_contradictory,d4_accuracy_consistent,d4_accuracy_contradictory,d4_accuracy_gap,d6_measure,d6_value,d6_split_count,d6_note
0.0,4,mlp,0.9205,0.921,-0.000500000000000056,999,1001,0.9309309309309309,0.9100899100899101,0.020841020841020796,normalized_first_layer_absolute_weight,0.1789535224748191,,First-layer weight audit; not a causal or cross-family importance.
0.0,5,logistic_regression,0.91,0.909,0.0010000000000000009,954,1046,0.909853249475891,0.9101338432122371,-0.00028059373634614637,normalized_absolute_standardized_coefficient,0.008495809683317028,,Within-model normalized coefficient; not cross-family comparable.
0.0,5,rbf_svm,0.9065,0.9085,-0.0020000000000000018,954,1046,0.9046121593291404,0.9082217973231358,-0.003609637993995385,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.0,5,random_forest,0.9005,0.899,0.0014999999999999458,954,1046,0.9025157232704403,0.8986615678776291,0.0038541553928111982,impurity_importance_fraction,0.04509639681791953,14017.0,Native impurity importance and split count; audit only.
0.0,5,gradient_boosting,0.8985,0.9,-0.0015000000000000568,954,1046,0.9014675052410901,0.8957934990439771,0.005674006197113002,private_histgb_gain_fraction,0.0376749134725471,860.0,Audit based on sklearn private tree nodes; version-sensitive.
0.0,5,mlp,0.911,0.91,0.0010000000000000009,954,1046,0.9056603773584906,0.9158699808795411,-0.010209603521050492,normalized_first_layer_absolute_weight,0.18035567656191437,,First-layer weight audit; not a causal or cross-family importance.
0.0,6,logistic_regression,0.909,0.9095,-0.0004999999999999449,1007,993,0.9106256206554121,0.9073514602215509,0.003274160433861195,normalized_absolute_standardized_coefficient,0.004746509923936708,,Within-model normalized coefficient; not cross-family comparable.
0.0,6,rbf_svm,0.9035,0.9105,-0.007000000000000006,1007,993,0.9016881827209533,0.905337361530715,-0.0036491788097616773,not_applicable,,,RBF kernel has no meaningful input-space feature weight.
0.0,6,random_forest,0.911,0.9045,0.006500000000000061,1007,993,0.9116186693147964,0.9103726082578046,0.0012460610569917652,impurity_importance_fraction,0.04352876167379424,13937.0,Native impurity importance and split count; audit only.
0.0,6,gradient_boosting,0.9025,0.899,0.0034999999999999476,1007,993,0.9076464746772592,0.8972809667673716,0.010365507909887661,private_histgb_gain_fraction,0.03406450952880381,851.0,Audit based on sklearn private tree nodes; version-sensitive.
0.0,6,mlp,0.9045,0.9065,-0.0020000000000000018,1007,993,0.9106256206554121,0.8982880161127895,0.01233760454262256,normalized_first_layer_absolute_weight,0.17588968378591513,,First-layer weight audit; not a causal or cross-family importance.
