rho_train,replicate,metric,model,score,rank,is_best
0.5,0,iid_test,mlp,0.936,1.0,True
0.5,0,iid_test,random_forest,0.9293333333333333,4.0,False
0.5,0,iid_test,rbf_svm,0.9336666666666666,3.0,False
0.5,1,iid_test,gradient_boosting,0.9166666666666666,5.0,False
0.5,1,iid_test,logistic_regression,0.9306666666666666,1.0,True
0.5,1,iid_test,mlp,0.923,3.0,False
0.5,1,iid_test,random_forest,0.922,4.0,False
0.5,1,iid_test,rbf_svm,0.9293333333333333,2.0,False
0.5,2,iid_test,gradient_boosting,0.9336666666666666,3.0,False
0.5,2,iid_test,logistic_regression,0.937,2.0,False
0.5,2,iid_test,mlp,0.9273333333333333,5.0,False
0.5,2,iid_test,random_forest,0.9286666666666666,4.0,False
0.5,2,iid_test,rbf_svm,0.9396666666666667,1.0,True
0.5,3,iid_test,gradient_boosting,0.9163333333333333,4.0,False
0.5,3,iid_test,logistic_regression,0.9263333333333333,1.0,True
0.5,3,iid_test,mlp,0.9253333333333333,3.0,False
0.5,3,iid_test,random_forest,0.915,5.0,False
0.5,3,iid_test,rbf_svm,0.9256666666666666,2.0,False
0.5,4,iid_test,gradient_boosting,0.9216666666666666,5.0,False
0.5,4,iid_test,logistic_regression,0.9313333333333333,1.0,True
0.5,4,iid_test,mlp,0.9293333333333333,2.5,False
0.5,4,iid_test,random_forest,0.9223333333333333,4.0,False
0.5,4,iid_test,rbf_svm,0.9293333333333333,2.5,False
0.5,5,iid_test,gradient_boosting,0.9196666666666666,5.0,False
0.5,5,iid_test,logistic_regression,0.9296666666666666,1.0,True
0.5,5,iid_test,mlp,0.9286666666666666,2.0,False
0.5,5,iid_test,random_forest,0.9203333333333333,4.0,False
0.5,5,iid_test,rbf_svm,0.928,3.0,False
0.5,6,iid_test,gradient_boosting,0.927,4.0,False
0.5,6,iid_test,logistic_regression,0.9313333333333333,1.0,True
0.5,6,iid_test,mlp,0.9303333333333333,2.0,False
0.5,6,iid_test,random_forest,0.9246666666666666,5.0,False
0.5,6,iid_test,rbf_svm,0.929,3.0,False
