rho_train,replicate,model,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess
0.0,0,logistic_regression,0.0005,0.0006458545549531051,0.0005353198585589247,0.0005,0.0003217944369849917,0.0003001166577384362,0.0,0.00032406011796811345
0.0,0,rbf_svm,0.0145,0.014910005289839006,0.0005353198585589247,0.0155,0.019580386872046038,0.0003001166577384362,-0.0009999999999999992,-0.004670381582207032
0.0,0,random_forest,0.0105,0.015185787301587305,0.0005353198585589247,0.011,0.01860091507936508,0.0003001166577384362,-0.0004999999999999987,-0.003415127777777775
0.0,0,gradient_boosting,0.0215,0.01978837246352649,0.0005353198585589247,0.0215,0.024807832637964915,0.0003001166577384362,0.0,-0.005019460174438425
0.0,0,mlp,0.0035,0.006785719818818645,0.0005353198585589247,0.0125,0.010353187757244564,0.0003001166577384362,-0.009000000000000001,-0.003567467938425919
0.0,1,logistic_regression,0.002,0.0022581984377725863,0.00012017737685254826,0.001,0.0025902781488989063,0.00014568650008595085,0.001,-0.00033207971112632004
0.0,1,rbf_svm,0.009,0.014422604252238184,0.00012017737685254826,0.0175,0.019141376711924115,0.00014568650008595085,-0.008500000000000002,-0.004718772459685931
0.0,1,random_forest,0.012,0.01740735894660895,0.00012017737685254826,0.011,0.01761447792207792,0.00014568650008595085,0.0010000000000000009,-0.00020711897546897215
0.0,1,gradient_boosting,0.0235,0.0234759334457792,0.00012017737685254826,0.019,0.021243694618564738,0.00014568650008595085,0.0045000000000000005,0.002232238827214461
0.0,1,mlp,0.017,0.0173082417633355,0.00012017737685254826,0.02,0.01868313796252005,0.00014568650008595085,-0.002999999999999999,-0.0013748961991845478
0.0,2,logistic_regression,0.0015,0.002043203397479467,0.0008387564453840035,0.001,0.0011054846503845861,0.0010306740088690258,0.0005,0.0009377187470948807
0.0,2,rbf_svm,0.0115,0.018139974657979153,0.0008387564453840035,0.015,0.018487979313236255,0.0010306740088690258,-0.0034999999999999996,-0.00034800465525710103
0.0,2,random_forest,0.0145,0.019058619336219332,0.0008387564453840035,0.0105,0.017649238888888887,0.0010306740088690258,0.004,0.0014093804473304453
0.0,2,gradient_boosting,0.027,0.02796341569032572,0.0008387564453840035,0.029,0.02629739047167848,0.0010306740088690258,-0.0020000000000000018,0.0016660252186472373
0.0,2,mlp,0.008,0.00846891904550456,0.0008387564453840035,0.0065,0.00883960662444686,0.0010306740088690258,0.0015000000000000005,-0.0003706875789423001
0.0,3,logistic_regression,0.0015,0.0011419670083969156,0.0006488773584456542,0.0,0.000787794078343206,0.00038766512038701517,0.0015,0.00035417293005370954
