rho_train,replicate,model,feature_condition,environment_type,rho_environment,rho_ood,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss
0.0,0,random_forest,stable_only,ood,0.3,0.3,0.8963333333333333,0.8961913840200318,0.9664205216395402,0.0725486709872906,0.23786863015268955
0.0,0,random_forest,stable_only,ood,-0.3,-0.3,0.911,0.91098299064083,0.9702790683410085,0.06729026658160478,0.2240492091027654
0.0,0,random_forest,stable_only,ood,-0.6,-0.6,0.907,0.9068242835716536,0.9700058178945625,0.06825909621769816,0.22468375160204823
0.0,0,random_forest,stable_only,ood,-0.9,-0.9,0.9033333333333333,0.9033907738375722,0.969044452228835,0.06998307728363691,0.22903835178167764
0.0,0,gradient_boosting,all_features,iid_validation,0.0,,0.8965,0.896547982305859,0.9695623170403619,0.07422436066650684,0.24358162592173624
0.0,0,gradient_boosting,all_features,iid_test,0.0,,0.908,0.907898949795082,0.9721835332707195,0.06865691001417117,0.22450856848598985
0.0,0,gradient_boosting,all_features,ood,0.3,0.3,0.8946666666666667,0.8946175022763487,0.9662006672547235,0.07714711765086268,0.25267865317056837
0.0,0,gradient_boosting,all_features,ood,-0.3,-0.3,0.8983333333333333,0.8983156427523435,0.9698410447850749,0.07265101927884514,0.2374713516230122
0.0,0,gradient_boosting,all_features,ood,-0.6,-0.6,0.9003333333333333,0.9001710674502144,0.9686078329855051,0.07468323124581071,0.2477284607582037
0.0,0,gradient_boosting,all_features,ood,-0.9,-0.9,0.8926666666666667,0.8927022523956264,0.9656041566274701,0.07935935427736865,0.26174128664303664
0.0,0,gradient_boosting,stable_only,iid_validation,0.0,,0.8975,0.8975591046516629,0.9686782100634177,0.07411917776499125,0.24181965341183542
0.0,0,gradient_boosting,stable_only,iid_test,0.0,,0.908,0.9078028944672132,0.9719551795167349,0.06931079064338379,0.22431594804231486
0.0,0,gradient_boosting,stable_only,ood,0.3,0.3,0.8946666666666667,0.8946175022763487,0.965145188367858,0.07823963414753803,0.25612634271683193
0.0,0,gradient_boosting,stable_only,ood,-0.3,-0.3,0.9056666666666666,0.905683594539973,0.9700841689708647,0.07126945872237267,0.23465514604113452
0.0,0,gradient_boosting,stable_only,ood,-0.6,-0.6,0.9033333333333333,0.9033508937673803,0.96946383742632,0.0726516749854397,0.24051094069076384
0.0,0,gradient_boosting,stable_only,ood,-0.9,-0.9,0.898,0.8980562929981383,0.9666606061037131,0.076979698447646,0.2541338368843632
0.0,0,mlp,all_features,iid_validation,0.0,,0.905,0.9048564876350038,0.9749299665259497,0.06406005880328364,0.2035431899162825
0.0,0,mlp,all_features,iid_test,0.0,,0.9186666666666666,0.9184276810109289,0.978240355333561,0.0586516521800321,0.19012148446485116
0.0,0,mlp,all_features,ood,0.3,0.3,0.9,0.8996788214204416,0.9731399741065332,0.0669908669872994,0.21088831671903502
0.0,0,mlp,all_features,ood,-0.3,-0.3,0.914,0.913951372496032,0.9768071971870487,0.06121248814392001,0.19624268213861717
0.0,0,mlp,all_features,ood,-0.6,-0.6,0.9133333333333333,0.9128356631599174,0.9757205204435834,0.06257759756174054,0.20020634485371552
0.0,0,mlp,all_features,ood,-0.9,-0.9,0.9063333333333333,0.9065723471182245,0.9752440080443971,0.0639589557157473,0.2029586530052182
0.0,0,mlp,stable_only,iid_validation,0.0,,0.9045,0.9046369610722897,0.9742078791533775,0.08673424571228125,0.3078876442095699
0.0,0,mlp,stable_only,iid_test,0.0,,0.9173333333333333,0.9174297728825137,0.9777467376764571,0.08536350657209886,0.30640203171072494
0.0,0,mlp,stable_only,ood,0.3,0.3,0.904,0.9040038840200318,0.9736703811461416,0.08855827280342275,0.3133753240857779
0.0,0,mlp,stable_only,ood,-0.3,-0.3,0.9113333333333333,0.9113774562987609,0.9758578127979326,0.08590228517075128,0.3063681692127637
0.0,0,mlp,stable_only,ood,-0.6,-0.6,0.9106666666666666,0.9107460248835086,0.9744724308302154,0.08541454938932293,0.303846867989039
0.0,0,mlp,stable_only,ood,-0.9,-0.9,0.9043333333333333,0.9043469795280407,0.9750204043892109,0.08603985608510656,0.3065352771574802
0.0,1,logistic_regression,all_features,iid_validation,0.0,,0.9175,0.9173409060614899,0.9784784589157449,0.05811528684337475,0.18767546298855275
0.0,1,logistic_regression,all_features,iid_test,0.0,,0.911,0.9109312091836668,0.9759735130307763,0.06264030542173855,0.19829883051454225
0.0,1,logistic_regression,all_features,ood,0.3,0.3,0.9023333333333333,0.9027886497064579,0.9716020281088775,0.06880092839120583,0.21685746036323708
0.0,1,logistic_regression,all_features,ood,-0.3,-0.3,0.9163333333333333,0.9164384779516359,0.9768145448079659,0.06105908251505351,0.1958818920738779
0.0,1,logistic_regression,all_features,ood,-0.6,-0.6,0.9163333333333333,0.9161710264477327,0.975867750219564,0.061287986186962275,0.1983831723639981
0.0,1,logistic_regression,all_features,ood,-0.9,-0.9,0.9193333333333333,0.919326630811836,0.9797591021151566,0.05676669288416809,0.18297325076195275
0.0,1,logistic_regression,stable_only,iid_validation,0.0,,0.9175,0.9172938020086371,0.978474450060183,0.05808523044759576,0.18774610336092318
0.0,1,logistic_regression,stable_only,iid_test,0.0,,0.9096666666666666,0.909606949628794,0.9758814949952412,0.06275873051488377,0.19862414915931553
0.0,1,logistic_regression,stable_only,ood,0.3,0.3,0.9043333333333333,0.9048078633695071,0.9723100871731009,0.06784670654874092,0.21426540495805835
0.0,1,logistic_regression,stable_only,ood,-0.3,-0.3,0.9153333333333333,0.9154427453769558,0.9762077702702703,0.06188733151916227,0.19812736387675345
0.0,1,logistic_regression,stable_only,ood,-0.6,-0.6,0.916,0.9158608575780147,0.97488188013474,0.06262091909362012,0.20222725309980868
0.0,1,logistic_regression,stable_only,ood,-0.9,-0.9,0.9166666666666666,0.9166599629599835,0.978431545969576,0.05866357388205582,0.1884171681556685
0.0,1,rbf_svm,all_features,iid_validation,0.0,,0.9175,0.9171053857972261,0.9745137007649899,0.062095616965470425,0.20446077990612777
0.0,1,rbf_svm,all_features,iid_test,0.0,,0.907,0.9069304250299726,0.9731093961083038,0.06506953211764462,0.21044638009541997
0.0,1,rbf_svm,all_features,ood,0.3,0.3,0.899,0.8995241060309553,0.9681231097669455,0.07167115386924647,0.23284877798084366
0.0,1,rbf_svm,all_features,ood,-0.3,-0.3,0.912,0.9120732574679943,0.9732890291607397,0.06463185416358869,0.21145326167132103
0.0,1,rbf_svm,all_features,ood,-0.6,-0.6,0.9133333333333333,0.9132083022979177,0.970781425442741,0.06575074502068466,0.22049426921336573
0.0,1,rbf_svm,all_features,ood,-0.9,-0.9,0.9166666666666666,0.9166630740724774,0.9776568789586128,0.058916281084142666,0.1923088072015203
