rho_train,dataset_seed,reference_fit_id,bridge_fit_id,reference_fidelity,mlpl_fidelity,delta_fidelity_ref_minus_mlpl,delta_fidelity_mlpl_minus_ref,reference_d3,mlpl_d3,delta_d3_ref_minus_mlpl,reference_ood_gap,mlpl_ood_gap,delta_ood_gap_ref_minus_mlpl,reference_iid_accuracy,mlpl_iid_accuracy
0.0,0,rho0_seed00_width64_constant,rho0_seed00_mlp_l,0.9615,0.96,0.0015000000000000568,-0.0015000000000000568,0.020666666666666667,0.021333333333333333,-0.0006666666666666661,0.012250000000000039,0.005500000000000033,0.006750000000000006,0.92,0.912
0.0,1,rho0_seed01_width64_constant,rho0_seed01_mlp_l,0.984,0.9505,0.033499999999999974,-0.033499999999999974,0.032,0.06466666666666666,-0.03266666666666666,-0.010666666666666741,-0.007000000000000006,-0.0036666666666667347,0.9026666666666666,0.8873333333333333
0.0,2,rho0_seed02_width64_constant,rho0_seed02_mlp_l,0.98625,0.94775,0.03849999999999998,-0.03849999999999998,0.021333333333333333,0.029,-0.007666666666666669,0.009666666666666629,0.021416666666666667,-0.011750000000000038,0.9206666666666666,0.9073333333333333
0.0,3,rho0_seed03_width64_constant,rho0_seed03_mlp_l,0.97425,0.98225,-0.008000000000000007,0.008000000000000007,0.024,0.021333333333333333,0.002666666666666668,-0.00633333333333333,-0.00466666666666668,-0.0016666666666666496,0.9013333333333333,0.9043333333333333
0.0,4,rho0_seed04_width64_constant,rho0_seed04_mlp_l,0.9865,0.991,-0.0044999999999999485,0.0044999999999999485,0.022333333333333334,0.009333333333333334,0.013,0.013083333333333363,0.015250000000000041,-0.002166666666666678,0.917,0.918
0.0,5,rho0_seed05_width64_constant,rho0_seed05_mlp_l,0.98425,0.9805,0.00374999999999992,-0.00374999999999992,0.021333333333333333,0.022333333333333334,-0.0010000000000000009,-0.0013333333333334085,-0.004083333333333383,0.0027499999999999747,0.9156666666666666,0.9086666666666666
0.0,6,rho0_seed06_width64_constant,rho0_seed06_mlp_l,0.98375,0.97325,0.010500000000000065,-0.010500000000000065,0.025,0.015333333333333332,0.009666666666666669,0.004000000000000031,0.0017500000000000293,0.002250000000000002,0.9103333333333333,0.9083333333333333
0.0,7,rho0_seed07_width64_constant,rho0_seed07_mlp_l,0.9825,0.98775,-0.005249999999999977,0.005249999999999977,0.025666666666666667,0.023333333333333334,0.002333333333333333,0.010249999999999954,0.0030000000000000027,0.007249999999999951,0.9136666666666666,0.9123333333333333
0.0,8,rho0_seed08_width64_constant,rho0_seed08_mlp_l,0.98225,0.981,0.0012499999999999734,-0.0012499999999999734,0.023,0.012,0.011,-0.002749999999999947,-0.0012500000000000011,-0.0014999999999999458,0.91,0.9113333333333333
0.0,9,rho0_seed09_width64_constant,rho0_seed09_mlp_l,0.98825,0.997,-0.008750000000000036,0.008750000000000036,0.028,0.016666666666666666,0.011333333333333334,0.003833333333333383,0.0030000000000000304,0.0008333333333333526,0.909,0.913
0.0,10,rho0_seed10_width64_constant,rho0_seed10_mlp_l,0.9835,0.97225,0.011250000000000093,-0.011250000000000093,0.022,0.02266666666666667,-0.0006666666666666696,-0.0036666666666666237,-0.0010833333333333806,-0.002583333333333243,0.908,0.9076666666666666
