rho_train,metric,delta_column,n,mean,median,sd,bootstrap_resamples,bootstrap_ci95_low,bootstrap_ci95_high,positive_count,positive_over_0p02_count,positive_over_0p05_count
0.9,Fidelity,delta_fidelity_ref_minus_mlpl,20,0.00655,0.003750000000000031,0.02116983330367208,5000,-0.0024634375,0.015388124999999999,12,4,1
0.9,D3,delta_d3_ref_minus_mlpl,20,0.18285,0.189,0.0979885107837344,5000,0.13923000000000002,0.22356833333333334,19,19,18
0.9,OOD gap,delta_ood_gap_ref_minus_mlpl,20,0.10027666666666668,0.10529999999999998,0.05242627917884323,5000,0.07768583333333334,0.12204683333333337,19,18,16
0.0,Fidelity,delta_fidelity_ref_minus_mlpl,20,0.0037750000000000006,0.001375000000000015,0.012537811233477546,5000,-0.0011999999999999901,0.009562812499999997,11,2,0
0.0,D3,delta_d3_ref_minus_mlpl,20,0.0039833333333333335,0.004333333333333335,0.01054507174047175,5000,-0.0010999999999999996,0.007983333333333332,15,0,0
0.0,OOD gap,delta_ood_gap_ref_minus_mlpl,20,-0.0012499999999999955,-0.0014999999999999597,0.004487148640726817,5000,-0.003241666666666659,0.0007001041666666667,6,0,0
