seed,model,feature_condition,rho_test,accuracy,balanced_accuracy,log_loss
0,logistic_regression,all_features,0.9,0.996,0.9960133850652022,0.01588671409351097
0,logistic_regression,all_features,0.6,0.876,0.8761939142604622,0.38426341926410534
0,logistic_regression,all_features,0.3,0.7893333333333333,0.7893268926906736,0.8887877116168335
0,logistic_regression,all_features,0.0,0.667,0.6670376322676073,1.6162442677632487
0,logistic_regression,all_features,-0.3,0.583,0.5829872586440153,2.2395028361378344
0,logistic_regression,all_features,-0.6,0.445,0.4449540183446604,2.8325527830607062
0,logistic_regression,all_features,-0.9,0.23066666666666666,0.23044399718367958,3.4758092373570957
0,rbf_svm,all_features,0.9,0.9953333333333333,0.9953619192671566,0.014654276811240548
0,rbf_svm,all_features,0.6,0.8826666666666667,0.8827816712932419,0.43599297361162015
0,rbf_svm,all_features,0.3,0.796,0.7959841395915068,0.8789313553016203
0,rbf_svm,all_features,0.0,0.6813333333333333,0.6813470673569235,1.4941930378386175
0,rbf_svm,all_features,-0.3,0.5976666666666667,0.5976610625085556,1.8903810898932825
0,rbf_svm,all_features,-0.6,0.4683333333333333,0.46835619415632296,2.539749156891756
0,rbf_svm,all_features,-0.9,0.2663333333333333,0.26627474059270745,3.601100299848081
0,random_forest,all_features,0.9,0.99,0.990025680648353,0.026857166710166594
0,random_forest,all_features,0.6,0.8233333333333334,0.8233611520616861,0.6157174841053248
0,random_forest,all_features,0.3,0.7113333333333334,0.7112298039138993,1.1414396019185826
0,random_forest,all_features,0.0,0.577,0.5769872141313004,1.9646757571268165
0,random_forest,all_features,-0.3,0.466,0.46599905066497893,2.34430237957417
0,random_forest,all_features,-0.6,0.2976666666666667,0.2977353851405317,3.1521566035244613
0,random_forest,all_features,-0.9,0.076,0.0761295507399953,4.3014365364611695
0,gradient_boosting,all_features,0.9,0.991,0.9910184433747262,0.03196541748688267
0,gradient_boosting,all_features,0.6,0.8426666666666667,0.8426656186480916,1.0399558833664353
0,gradient_boosting,all_features,0.3,0.7393333333333333,0.7392068640135758,1.991946316084676
0,gradient_boosting,all_features,0.0,0.6036666666666667,0.6036505148481055,3.1663030656540037
0,gradient_boosting,all_features,-0.3,0.5013333333333333,0.501340446827461,4.022188576014645
0,gradient_boosting,all_features,-0.6,0.339,0.33912220839950236,5.383215834355594
